timestamp,device,series,period,EMUI,Android
7/24/19,Honor View20,HONOR series,quarterly,nan,nan
7/24/19,Honor 10,HONOR series,quarterly,Emotion UI,Android 8.1 Oreo
7/24/19,Honor 10i,HONOR series,quarterly,nan,nan
7/24/19,Honor 10 Lite,HONOR series,quarterly,nan,nan
7/24/19,Honor Play,HONOR series,quarterly,nan,nan
7/24/19,Honor 8A,HONOR series,quarterly,nan,nan
7/24/19,Honor 8X,HONOR series,quarterly,,
7/24/19,Honor 8S,HONOR series,quarterly,nan,nan
7/24/19,Honor 7S,HONOR series,quarterly,nan,nan
7/24/19,nova 4,HUAWEI nova series,quarterly,nan,nan
7/24/19,nova 3,HUAWEI nova series,quarterly,nan,nan
7/24/19,nova 3i,HUAWEI nova series,quarterly,,"9.0 ""Pie"""
7/24/19,nova 2i,HUAWEI nova series,quarterly,,Android 10.0 Q
7/24/19,M5,Tablets,quarterly,nan,nan
7/24/19,M5 Pro,Tablets,quarterly,nan,nan
7/24/19,MediaPad T5 10,Tablets,quarterly,nan,nan
7/24/19,MediaPad M5 lite 10,Tablets,quarterly,nan,nan
10/12/19,P30 Pro,HUAWEI P series,monthly,EMUI 12,Android 10
10/12/19,P30,HUAWEI P series,monthly,EMUI 12,Android 10
10/12/19,P20 Pro,HUAWEI P series,monthly,EMUI 12,Android 9
10/12/19,P20,HUAWEI P series,monthly,EMUI 12,Android 9
10/12/19,Mate 20 X,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
10/12/19,Mate 20 Pro,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
10/12/19,Mate 20,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
10/12/19,Mate 20 RS,HUAWEI Mate series,monthly,nan,nan
10/12/19,Mate 10 Pro,HUAWEI Mate series,monthly,,Android 10.0 Q
10/12/19,Mate 10,HUAWEI Mate series,monthly,,Android 10.0 Q
10/12/19,PORSCHE DESIGN HUAWEI Mate RS,HUAWEI Mate series,monthly,nan,nan
10/12/19,HONOR 20,HONOR series,monthly,,Pie 9.0
10/12/19,HONOR 20 PRO,HONOR series,monthly,,Pie 9.0
10/12/19,Honor View20,HONOR series,monthly,nan,nan
10/12/19,Honor 10,HONOR series,monthly,Emotion UI,Android 8.1 Oreo
10/12/19,Honor View10,HONOR series,monthly,nan,nan
10/12/19,P30 lite,HUAWEI P series,quarterly,nan,nan
10/12/19,P20 lite,HUAWEI P series,quarterly,nan,nan
10/12/19,P Smart 2019,HUAWEI P series,quarterly,nan,nan
10/12/19,P 9 lite mini,HUAWEI P series,quarterly,nan,nan
10/12/19,P Smart,HUAWEI P series,quarterly,,
10/12/19,Mate 20 Lite,HUAWEI Mate series,quarterly,nan,nan
10/12/19,Mate 10 Lite,HUAWEI Mate series,quarterly,,Android 10.0 Q
10/12/19,Y9 Prime 2019,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y9 2019,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y9 2018,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y6 2019,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y6 Pro 2019,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y6 2018,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y5 2019,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y5 2018,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y5 Prime 2018,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y5 Lite,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y5 Lite 2018,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y3 2018,HUAWEI Y series,quarterly,nan,nan
10/12/19,Y MAX,HUAWEI Y series,quarterly,nan,nan
10/12/19,Honor 20i,HONOR series,quarterly,nan,nan
10/12/19,Honor 10i,HONOR series,quarterly,nan,nan
10/12/19,Honor 10 Lite,HONOR series,quarterly,nan,nan
10/12/19,Honor 9 Lite,HONOR series,quarterly,,"Android 9 ""Pie"""
10/12/19,Honor 9N,HONOR series,quarterly,nan,nan
10/12/19,Honor 9i,HONOR series,quarterly,,Android 10.0 Q
10/12/19,Honor Play,HONOR series,quarterly,nan,nan
10/12/19,Honor 8A,HONOR series,quarterly,nan,nan
10/12/19,Honor 8X,HONOR series,quarterly,,
10/12/19,Honor 8S,HONOR series,quarterly,nan,nan
10/12/19,Honor 8C,HONOR series,quarterly,nan,nan
10/12/19,Honor 7X,HONOR series,quarterly,nan,nan
10/12/19,Honor 7S,HONOR series,quarterly,nan,nan
