CVE,Severity,Year,Month,Affected Versions
CVE-2021-37033,Medium,2021,8,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-37032,Medium,2021,8,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, EMUI 9.1.1, EMUI 9.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0, Magic UI 2.1.1"
CVE-2021-37031,Medium,2021,8,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-37030,Medium,2021,8,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, EMUI 9.1.1, EMUI 9.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0, Magic UI 2.1.1"
CVE-2021-37029,Low,2021,8,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-22450,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22323,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-37051,Medium,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37050,High,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37049,Medium,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37047,Low,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37046,Medium,2021,9,"EMUI 11.0.0,  Magic UI 4.0.0"
CVE-2021-37045,High,2021,9,"EMUI 10.1.0,  Magic UI 3.1.0"
CVE-2021-37044,Medium,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37040,Medium,2021,9,"EMUI 11.0.0,  Magic UI 4.0.0"
CVE-2021-37039,Medium,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37038,Medium,2021,9,"EMUI 10.1.1,  Magic UI 3.1.1"
CVE-2021-37037,Medium,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37027,Medium,2021,9,"EMUI 10.1.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 2.1.1"
CVE-2021-37013,Low,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-37009,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37000,High,2021,9,"EMUI 11.0.0,  Magic UI 4.0.0"
CVE-2021-36987,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-3506,High,2021,9,"EMUI 11.0.0,  Magic UI 4.0.0"
CVE-2021-33909,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22486,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-37052,High,2021,9,"EMUI 11.0.0,  EMUI 10.1.1,  Magic UI 4.0.0,  Magic UI 3.1.1"
CVE-2021-22437,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22436,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22435,High,2021,9,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22434,Medium,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-22432,High,2021,9,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
