phone_model,support,date,model_name,model_number
Find X2（CPH2023、CPH1921）,monthly,2023-03-03 16:22:08,Find X2,CPH2023、CPH1921
Find X2 Pro（CPH2025）,monthly,2023-03-03 16:22:08,Find X2 Pro,CPH2025
Find X3（PEDM00）,monthly,2023-03-03 16:22:08,Find X3,PEDM00
Find X3 Neo（CPH2207）,monthly,2023-03-03 16:22:08,Find X3 Neo,CPH2207
Find X3 Pro（PEEM00、CPH2173、CPH2305）,monthly,2023-03-03 16:22:08,Find X3 Pro,PEEM00、CPH2173、CPH2305
Find X5（PFFM10、CPH2307）,monthly,2023-03-03 16:22:08,Find X5,PFFM10、CPH2307
Find X5 Pro(PFFM20、PFEM10、CPH2305）,monthly,2023-03-03 16:22:08,Find X5 Pro,
Find X5 Lite（CPH2371）,monthly,2023-03-03 16:22:08,Find X5 Lite,CPH2371
Find N（PEUM00）,monthly,2023-03-03 16:22:08,Find N,PEUM00
Find N2(PGU110、CPH2437),monthly,2023-03-03 16:22:08,Find N2,
Find X2 Lite（CPH2005）,quarterly,2023-03-03 16:22:08,Find X2 Lite,CPH2005
Find X2 Neo（CPH2009）,quarterly,2023-03-03 16:22:08,Find X2 Neo,CPH2009
Find X2（PDEM10、PDET10）,quarterly,2023-03-03 16:22:08,Find X2,PDEM10、PDET10
Find X2 Pro（PDEM30）,quarterly,2023-03-03 16:22:08,Find X2 Pro,PDEM30
Find X3 Pro（OPG03）,quarterly,2023-03-03 16:22:08,Find X3 Pro,OPG03
Reno Ace（PCLM10）,quarterly,2023-03-03 16:22:08,Reno Ace,PCLM10
Reno Ace2（PDHM00）,quarterly,2023-03-03 16:22:08,Reno Ace2,PDHM00
Reno 10x Zoom（PCCM00、PCCT00、CPH1919）,quarterly,2023-03-03 16:22:08,Reno 10x Zoom,PCCM00、PCCT00、CPH1919
Reno Z（PCDM10、PCDT10、CPH1979）,quarterly,2023-03-03 16:22:08,Reno Z,PCDM10、PCDT10、CPH1979
Reno2（PCKM00、CPH1907）,quarterly,2023-03-03 16:22:08,Reno2,PCKM00、CPH1907
Reno2 F（CPH1989）,quarterly,2023-03-03 16:22:08,Reno2 F,CPH1989
Reno2 Z（PCKM80、CPH1945、CPH1951）,quarterly,2023-03-03 16:22:08,Reno2 Z,PCKM80、CPH1945、CPH1951
Reno3（CPH2043、PCRT01）,quarterly,2023-03-03 16:22:08,Reno3,CPH2043、PCRT01
Reno3 5G（PDCM00、PCLM50、A001OP）,quarterly,2023-03-03 16:22:08,Reno3 5G,PDCM00、PCLM50、A001OP
Reno3 A（CPH2013、A002OP）,quarterly,2023-03-03 16:22:08,Reno3 A,CPH2013、A002OP
Reno3 Pro（CPH2035、CPH2036、CPH2037、CPH2009）,quarterly,2023-03-03 16:22:08,Reno3 Pro,CPH2035、CPH2036、CPH2037、CPH2009
Reno3 Pro 5G（PCRM00）,quarterly,2023-03-03 16:22:08,Reno3 Pro 5G,PCRM00
Reno4（CPH2113、CPH2109）,quarterly,2023-03-03 16:22:08,Reno4,CPH2113、CPH2109
Reno4 5G（PDPM00、PDPT00、CPH2091）,quarterly,2023-03-03 16:22:08,Reno4 5G,PDPM00、PDPT00、CPH2091
Reno4 F（CPH2209）,quarterly,2023-03-03 16:22:08,Reno4 F,CPH2209
Reno4 Lite（CPH2125）,quarterly,2023-03-03 16:22:08,Reno4 Lite,CPH2125
Reno4 Pro（PDNT00、PDNM00、CPH2109、CPH2113）,quarterly,2023-03-03 16:22:08,Reno4 Pro,PDNT00、PDNM00、CPH2109、CPH2113
Reno4 Pro 5G（CPH2089）,quarterly,2023-03-03 16:22:08,Reno4 Pro 5G,CPH2089
Reno4 SE（PEAT00、PEAM00）,quarterly,2023-03-03 16:22:08,Reno4 SE,PEAT00、PEAM00
Reno4 Z 5G（CPH2065）,quarterly,2023-03-03 16:22:08,Reno4 Z 5G,CPH2065
Reno5（CPH2159、CPH2199、CPH2217）,quarterly,2023-03-03 16:22:08,Reno5,CPH2159、CPH2199、CPH2217
Reno5 5G（PEGT00、PEGM00、CPH2145）,quarterly,2023-03-03 16:22:08,Reno5 5G,PEGT00、PEGM00、CPH2145
Reno5 A（CPH2199、A103OP、A101OP）,quarterly,2023-03-03 16:22:08,Reno5 A,CPH2199、A103OP、A101OP
Reno5 F（CPH2217）,quarterly,2023-03-03 16:22:08,Reno5 F,CPH2217
Reno5 Z（CPH2211）,quarterly,2023-03-03 16:22:08,Reno5 Z,CPH2211
Reno5 K 5G（PEGM10、PEGT10）,quarterly,2023-03-03 16:22:08,Reno5 K 5G,PEGM10、PEGT10
Reno5 Lite（CPH2205）,quarterly,2023-03-03 16:22:08,Reno5 Lite,CPH2205
Reno5 Pro 5G（PDSM00、PDST00、CPH2201）,quarterly,2023-03-03 16:22:08,Reno5 Pro 5G,PDSM00、PDST00、CPH2201
Reno5 Pro+ 5G（PDRM00）,quarterly,2023-03-03 16:22:08,Reno5 Pro+ 5G,PDRM00
Reno6（PEQM00、CPH2235）,quarterly,2023-03-03 16:22:08,Reno6,PEQM00、CPH2235
Reno6  5G (CPH2251),quarterly,2023-03-03 16:22:08,Reno6  5G ,
Reno6 Pro（PEPM00）,quarterly,2023-03-03 16:22:08,Reno6 Pro,PEPM00
Reno6 Pro 5G(CPH2249、CPH2247),quarterly,2023-03-03 16:22:08,Reno6 Pro 5G,
Reno6 Pro+ 5G（PENM00）,quarterly,2023-03-03 16:22:08,Reno6 Pro+ 5G,PENM00
Reno6 Z 5G（CPH2237）,quarterly,2023-03-03 16:22:08,Reno6 Z 5G,CPH2237
Reno7 (CPH2363）,quarterly,2023-03-03 16:22:08,Reno7 ,
Reno7 5G（PFJM10、CPH2371）,quarterly,2023-03-03 16:22:08,Reno7 5G,PFJM10、CPH2371
Reno7 Pro 5G（PFDM00、CPH2293）,quarterly,2023-03-03 16:22:08,Reno7 Pro 5G,PFDM00、CPH2293
Reno7 SE 5G（PFCM00）,quarterly,2023-03-03 16:22:08,Reno7 SE 5G,PFCM00
Reno7 Z 5G（CPH2343）,quarterly,2023-03-03 16:22:08,Reno7 Z 5G,CPH2343
Reno7 A（CPH2353、A201OP）,quarterly,2023-03-03 16:22:08,Reno7 A,CPH2353、A201OP
Reno8 5G（PGBM10、CPH2461）,quarterly,2023-03-03 16:22:08,Reno8 5G,PGBM10、CPH2461
Reno8 Pro+ 5G（PFZM10）,quarterly,2023-03-03 16:22:08,Reno8 Pro+ 5G,PFZM10
Reno8 Lite 5G（CPH2343）,quarterly,2023-03-03 16:22:08,Reno8 Lite 5G,CPH2343
Reno8 Z（CPH2457）,quarterly,2023-03-03 16:22:08,Reno8 Z,CPH2457
Reno8 T（CPH2481）,quarterly,2023-03-03 16:22:08,Reno8 T,CPH2481
Reno8 T 5G（CPH2505）,quarterly,2023-03-03 16:22:08,Reno8 T 5G,CPH2505
Reno9 5G(PHM110),quarterly,2023-03-03 16:22:08,Reno9 5G,
Reno9 Pro 5G（PGX110）,quarterly,2023-03-03 16:22:08,Reno9 Pro 5G,PGX110
Reno9 Pro+ 5G（PGW110）,quarterly,2023-03-03 16:22:08,Reno9 Pro+ 5G,PGW110
A1 Pro 5G（PHQ110）,quarterly,2023-03-03 16:22:08,A1 Pro 5G,PHQ110
A8（PDBM00）,quarterly,2023-03-03 16:22:08,A8,PDBM00
A9（CPH1938),quarterly,2023-03-03 16:22:08,A9,CPH1938)
A9 2020（CPH1937、CPH1941、CPH1943）,quarterly,2023-03-03 16:22:08,A9 2020,CPH1937、CPH1941、CPH1943
A11（PCHM10、CPH1943、CPH1941、CPH1931）,quarterly,2023-03-03 16:22:08,A11,PCHM10、CPH1943、CPH1941、CPH1931
A11K（PCHM30、CPH2071、CPH2083）,quarterly,2023-03-03 16:22:08,A11K,PCHM30、CPH2071、CPH2083
A12（CPH2077、CPH2083）,quarterly,2023-03-03 16:22:08,A12,CPH2077、CPH2083
A15(CPH2179、CPH2185）,quarterly,2023-03-03 16:22:08,A15,
A15S（CPH2179）,quarterly,2023-03-03 16:22:08,A15S,CPH2179
A16（CPH2269、CPH2275）,quarterly,2023-03-03 16:22:08,A16,CPH2269、CPH2275
A16K（CPH2349、CPH2351）,quarterly,2023-03-03 16:22:08,A16K,CPH2349、CPH2351
A16S（CPH2271）,quarterly,2023-03-03 16:22:08,A16S,CPH2271
A16E（CPH2421）,quarterly,2023-03-03 16:22:08,A16E,CPH2421
A31（CPH2015、CPH2031、CPH2073、CPH2081）,quarterly,2023-03-03 16:22:08,A31,CPH2015、CPH2031、CPH2073、CPH2081
A32(PDVM00),quarterly,2023-03-03 16:22:08,A32,
A33(CPH2137),quarterly,2023-03-03 16:22:08,A33,
A35（PEFM00）,quarterly,2023-03-03 16:22:08,A35,PEFM00
A36（PESM10）,quarterly,2023-03-03 16:22:08,A36,PESM10
A5 2020（CPH1931、CPH1933、CPH1943）,quarterly,2023-03-03 16:22:08,A5 2020,CPH1931、CPH1933、CPH1943
A52（PDAM10、PDAT10、CPH2061、CPH2067、CPH2069）,quarterly,2023-03-03 16:22:08,A52,PDAM10、PDAT10、CPH2061、CPH2067、CPH2069
A53（CPH2127、CPH2139、CPH2131）,quarterly,2023-03-03 16:22:08,A53,CPH2127、CPH2139、CPH2131
A53 5G（PECM20、PECT30、PECM30）,quarterly,2023-03-03 16:22:08,A53 5G,PECM20、PECT30、PECM30
A53S（CPH2135）,quarterly,2023-03-03 16:22:08,A53S,CPH2135
A53S 5G(CPH2321),quarterly,2023-03-03 16:22:08,A53S 5G,
A54（CPH2239、CPH2241）,quarterly,2023-03-03 16:22:08,A54,CPH2239、CPH2241
A54 5G（CPH2195、CPH2303、OPG02）,quarterly,2023-03-03 16:22:08,A54 5G,CPH2195、CPH2303、OPG02
A54S（CPH2273）,quarterly,2023-03-03 16:22:08,A54S,CPH2273
A55（CPH2325）,quarterly,2023-03-03 16:22:08,A55,CPH2325
A55 5G（PEMM00、PEMT00、PEMT20、PEMM20）,quarterly,2023-03-03 16:22:08,A55 5G,PEMM00、PEMT00、PEMT20、PEMM20
A55s  5G (CPH2309、A102OP),quarterly,2023-03-03 16:22:08,A55s  5G ,
A56 5G（PFVM10）,quarterly,2023-03-03 16:22:08,A56 5G,PFVM10
A57（PFTM20、CPH1701、CPH2387、CPH2407）,quarterly,2023-03-03 16:22:08,A57,PFTM20、CPH1701、CPH2387、CPH2407
A57s(CPH2385),quarterly,2023-03-03 16:22:08,A57s,
A58 5G（PHJ110）,quarterly,2023-03-03 16:22:08,A58 5G,PHJ110
A72 （CPH2067）,quarterly,2023-03-03 16:22:08,A72 ,CPH2067
A72 5G(PDYM20、PDYT20),quarterly,2023-03-03 16:22:08,A72 5G,
A73（CPH2095、CPH2099）,quarterly,2023-03-03 16:22:08,A73,CPH2095、CPH2099
A73 5G (CPH2161),quarterly,2023-03-03 16:22:08,A73 5G ,
A74（CPH2219）,quarterly,2023-03-03 16:22:08,A74,CPH2219
A74 5G（CPH2197、CPH2263）,quarterly,2023-03-03 16:22:08,A74 5G,CPH2197、CPH2263
A76（CPH2375),quarterly,2023-03-03 16:22:08,A76,CPH2375)
A77 5G（CPH2339）,quarterly,2023-03-03 16:22:08,A77 5G,CPH2339
A77(CPH2385),quarterly,2023-03-03 16:22:08,A77,
A77s（CPH2473）,quarterly,2023-03-03 16:22:08,A77s,CPH2473
A78 5G（CPH2495）,quarterly,2023-03-03 16:22:08,A78 5G,CPH2495
A91（PCPM00、CPH2001、CPH2021）,quarterly,2023-03-03 16:22:08,A91,PCPM00、CPH2001、CPH2021
A92（CPH2059）,quarterly,2023-03-03 16:22:08,A92,CPH2059
A92S（PDKM00、PDKT00）,quarterly,2023-03-03 16:22:08,A92S,PDKM00、PDKT00
A93S（PFGM00）,quarterly,2023-03-03 16:22:08,A93S,PFGM00
A93（CPH2121、CPH2123）,quarterly,2023-03-03 16:22:08,A93,CPH2121、CPH2123
A93 5G（PEHM00、PEHT00）,quarterly,2023-03-03 16:22:08,A93 5G,PEHM00、PEHT00
A94（CPH2203）,quarterly,2023-03-03 16:22:08,A94,CPH2203
A95（CPH2365）,quarterly,2023-03-03 16:22:08,A95,CPH2365
A95 5G（PELM00）,quarterly,2023-03-03 16:22:08,A95 5G,PELM00
A96（CPH2333、PHA120）,quarterly,2023-03-03 16:22:08,A96,CPH2333、PHA120
A96 5G(PFUM10),quarterly,2023-03-03 16:22:08,A96 5G,
A97(PFTM10),quarterly,2023-03-03 16:22:08,A97,
F11(CPH1911),quarterly,2023-03-03 16:22:08,F11,
F11 Pro(CPH1969、CPH1987）,quarterly,2023-03-03 16:22:08,F11 Pro,
F17 Pro（CPH2119）,quarterly,2023-03-03 16:22:08,F17 Pro,CPH2119
F19 Pro（CPH2285）,quarterly,2023-03-03 16:22:08,F19 Pro,CPH2285
F19 Pro+（CPH2213）,quarterly,2023-03-03 16:22:08,F19 Pro+,CPH2213
F19s（CPH2223）,quarterly,2023-03-03 16:22:08,F19s,CPH2223
F21 Pro 5G（CPH2341、CPH2343）,quarterly,2023-03-03 16:22:08,F21 Pro 5G,CPH2341、CPH2343
F21s Pro 5G（CPH2455）,quarterly,2023-03-03 16:22:08,F21s Pro 5G,CPH2455
F21 Pro（CPH2363）,quarterly,2023-03-03 16:22:08,F21 Pro,CPH2363
K5（PCNM00）,quarterly,2023-03-03 16:22:08,K5,PCNM00
K7（PCRT01）,quarterly,2023-03-03 16:22:08,K7,PCRT01
K7x（PERM00）,quarterly,2023-03-03 16:22:08,K7x,PERM00
K9 5G（PEXM00）,quarterly,2023-03-03 16:22:08,K9 5G,PEXM00
K9 Pro 5G（PEYM00）,quarterly,2023-03-03 16:22:08,K9 Pro 5G,PEYM00
K9x 5G（PGCM10）,quarterly,2023-03-03 16:22:08,K9x 5G,PGCM10
K9S（PERM10）,quarterly,2023-03-03 16:22:08,K9S,PERM10
K10 Pro 5G（PGIM10),quarterly,2023-03-03 16:22:08,K10 Pro 5G,PGIM10)
K10（PGJM10、CPH2373）,quarterly,2023-03-03 16:22:08,K10,PGJM10、CPH2373
K10 5G (CPH2337、CPH2237),quarterly,2023-03-03 16:22:08,K10 5G ,
K10x 5G（PGGM10）,quarterly,2023-03-03 16:22:08,K10x 5G,PGGM10
R8A(PGAM10),quarterly,2023-03-03 16:22:08,R8A,
Find N2(PGU110、CPH2437),others,2023-03-03 16:22:08,Find N2,
Find X2(PDEM10、CPH2023),others,2023-03-03 16:22:08,Find X2,
Find X2 Lite(CPH2005),others,2023-03-03 16:22:08,Find X2 Lite,
Find X2 Neo(CPH2009),others,2023-03-03 16:22:08,Find X2 Neo,
Find X2 Pro(PDEM30、CPH2025、OPG02),others,2023-03-03 16:22:08,Find X2 Pro,
Find X3 Neo(CPH2207),others,2023-03-03 16:22:08,Find X3 Neo,
Find X3 Pro(PEEM00、CPH2173、OPG03),others,2023-03-03 16:22:08,Find X3 Pro,
Find X5(PFFM10、CPH2307),others,2023-03-03 16:22:08,Find X5,
Find X5 Pro(PFFM20、PFEM10、CPH2305),others,2023-03-03 16:22:08,Find X5 Pro,
Reno Ace2(PDHM00),others,2023-03-03 16:22:08,Reno Ace2,
Reno3(CPH2043),others,2023-03-03 16:22:08,Reno3,
Reno3 Pro(CPH2035、CPH2036、CPH2037、CPH2009),others,2023-03-03 16:22:08,Reno3 Pro,
Reno4(CPH2113、CPH2109),others,2023-03-03 16:22:08,Reno4,
Reno4 5G(CPH2091),others,2023-03-03 16:22:08,Reno4 5G,
Reno4 Pro 5G(CPH2089),others,2023-03-03 16:22:08,Reno4 Pro 5G,
Reno4Z 5G(CPH2065),others,2023-03-03 16:22:08,Reno4Z 5G,
Reno5(CPH2159),others,2023-03-03 16:22:08,Reno5,
Reno5 5G(PEGT00、PEGM00、CPH2145),others,2023-03-03 16:22:08,Reno5 5G,
Reno5 A(CPH2199、A101OP、A103OP),others,2023-03-03 16:22:08,Reno5 A,
Reno5 K 5G(PEGT10、PEGM10),others,2023-03-03 16:22:08,Reno5 K 5G,
Reno5 Z(CPH2211),others,2023-03-03 16:22:08,Reno5 Z,
Reno6(CPH2235),others,2023-03-03 16:22:08,Reno6,
Reno6 Pro(PEPM00、CPH2249),others,2023-03-03 16:22:08,Reno6 Pro,
Reno7(PFJM10),others,2023-03-03 16:22:08,Reno7,
Reno7 Pro 5G(PFDM00、CPH2293),others,2023-03-03 16:22:08,Reno7 Pro 5G,
Reno8 Pro 5G(CPH2357),others,2023-03-03 16:22:08,Reno8 Pro 5G,
Reno8 Pro+ 5G(PFZM10),others,2023-03-03 16:22:08,Reno8 Pro+ 5G,
Reno8 T(CPH2481),others,2023-03-03 16:22:08,Reno8 T,
Reno8 T 5G(CPH2505),others,2023-03-03 16:22:08,Reno8 T 5G,
A15(CPH2185、CPH2179),others,2023-03-03 16:22:08,A15,
A16(CPH2269),others,2023-03-03 16:22:08,A16,
A16E(CPH2421),others,2023-03-03 16:22:08,A16E,
A16K(CPH2349、CPH2351),others,2023-03-03 16:22:08,A16K,
A16S(CPH2271),others,2023-03-03 16:22:08,A16S,
A36(PESM10),others,2023-03-03 16:22:08,A36,
A52(CPH2061、CPH2069),others,2023-03-03 16:22:08,A52,
A53(CPH2127、CPH2139、CPH2131),others,2023-03-03 16:22:08,A53,
A53s(CPH2135),others,2023-03-03 16:22:08,A53s,
A54 5G(CPH2195、CPH2303),others,2023-03-03 16:22:08,A54 5G,
A54S(CPH2273),others,2023-03-03 16:22:08,A54S,
A55(PEMM20、CPH2325),others,2023-03-03 16:22:08,A55,
A55 5G(PEMM00、PEMT00、PEMT20),others,2023-03-03 16:22:08,A55 5G,
A55s 5G(CPH2309、A102OP),others,2023-03-03 16:22:08,A55s 5G,
A56 5G(PFVM10),others,2023-03-03 16:22:08,A56 5G,
A57(PFTM20、CPH2387、CPH2407),others,2023-03-03 16:22:08,A57,
A57s(CPH2385),others,2023-03-03 16:22:08,A57s,
A58 5G(PHJ110),others,2023-03-03 16:22:08,A58 5G,
A72(CPH2067),others,2023-03-03 16:22:08,A72,
A73(CPH2099),others,2023-03-03 16:22:08,A73,
A74(CPH2219),others,2023-03-03 16:22:08,A74,
A77(CPH2385),others,2023-03-03 16:22:08,A77,
A74 5G(CPH2197),others,2023-03-03 16:22:08,A74 5G,
A78 5G(CPH2495),others,2023-03-03 16:22:08,A78 5G,
A92(CPH2059),others,2023-03-03 16:22:08,A92,
A93 5G(PEHT00、PEHM00),others,2023-03-03 16:22:08,A93 5G,
A93S(PFGM00),others,2023-03-03 16:22:08,A93S,
A95(CPH2365),others,2023-03-03 16:22:08,A95,
A96(PHA120),others,2023-03-03 16:22:08,A96,
A96 5G(PFUM10),others,2023-03-03 16:22:08,A96 5G,
A97(PFTM10),others,2023-03-03 16:22:08,A97,
F19s(CPH2223),others,2023-03-03 16:22:08,F19s,
F21s Pro 5G(CPH2455),others,2023-03-03 16:22:08,F21s Pro 5G,
K10(PGJM10),others,2023-03-03 16:22:08,K10,
K10 Pro 5G(PGIM10),others,2023-03-03 16:22:08,K10 Pro 5G,
K10x 5G(PGGM10),others,2023-03-03 16:22:08,K10x 5G,
K9 5G(PEXM00),others,2023-03-03 16:22:08,K9 5G,
K9 Pro 5G(PEYM00),others,2023-03-03 16:22:08,K9 Pro 5G,
K9s(PERM10),others,2023-03-03 16:22:08,K9s,
K9x 5G(PGCM10),others,2023-03-03 16:22:08,K9x 5G,
Find  N (PEUM00),monthly,2022-01-24 11:51:49,Find  N ,
Find X3 （PEDM00、PEDT00）,monthly,2022-01-24 11:51:49,Find X3 ,PEDM00、PEDT00
Find X3 Pro （PEEM00、CPH2173）,monthly,2022-01-24 11:51:49,Find X3 Pro ,PEEM00、CPH2173
Find X3 Lite 5G（CPH2145）,monthly,2022-01-24 11:51:49,Find X3 Lite 5G,CPH2145
Find x3 neo（CPH2207）,monthly,2022-01-24 11:51:49,Find x3 neo,CPH2207
Find X2 Pro（PDEM30、CPH2025）,monthly,2022-01-24 11:51:49,Find X2 Pro,PDEM30、CPH2025
Find X2（PDEM10、CPH2023、CPH1921、PDET10）,monthly,2022-01-24 11:51:49,Find X2,PDEM10、CPH2023、CPH1921、PDET10
Find X2 Neo（CPH2009）,monthly,2022-01-24 11:51:49,Find X2 Neo,CPH2009
Find X2 Lite（CPH2005）,monthly,2022-01-24 11:51:49,Find X2 Lite,CPH2005
Find X（CPH1871、CPH1875、PAFM00、PAHM00、PAFT00）,monthly,2022-01-24 11:51:49,Find X,CPH1871、CPH1875、PAFM00、PAHM00、PAFT00
Reno7 5G(PFJM10),quarterly,2022-01-24 11:51:49,Reno7 5G,
Reno7 Pro 5G(PFDM00）,quarterly,2022-01-24 11:51:49,Reno7 Pro 5G,
Reno7 SE(PFCM00),quarterly,2022-01-24 11:51:49,Reno7 SE,
Reno6（CPH2235、CPH2251、PEQM00）,quarterly,2022-01-24 11:51:49,Reno6,CPH2235、CPH2251、PEQM00
Reno6 5G(CPH2251),quarterly,2022-01-24 11:51:49,Reno6 5G,
Reno6 Pro（CPH2249、PEPM00、PEQM00、CPH2247）,quarterly,2022-01-24 11:51:49,Reno6 Pro,CPH2249、PEPM00、PEQM00、CPH2247
Reno6 Pro+ 5G（PENM00）,quarterly,2022-01-24 11:51:49,Reno6 Pro+ 5G,PENM00
Reno6 Z（CPH2237）,quarterly,2022-01-24 11:51:49,Reno6 Z,CPH2237
Reno5 Pro+ 5G(PDRM00),quarterly,2022-01-24 11:51:49,Reno5 Pro+ 5G,
Reno5 Pro 5G（CPH2207、PDSM00、PDST00）,quarterly,2022-01-24 11:51:49,Reno5 Pro 5G,CPH2207、PDSM00、PDST00
Reno5 5G（PEGM00、PEGT00、CPH2145）,quarterly,2022-01-24 11:51:49,Reno5 5G,PEGM00、PEGT00、CPH2145
Reno5 Lite （CPH2205）,quarterly,2022-01-24 11:51:49,Reno5 Lite ,CPH2205
Reno5 K 5G （PEGM10、PEGT10）,quarterly,2022-01-24 11:51:49,Reno5 K 5G ,PEGM10、PEGT10
Reno5 F （CPH2217）,quarterly,2022-01-24 11:51:49,Reno5 F ,CPH2217
Reno5 Pro+ 5G（PDRM00）,quarterly,2022-01-24 11:51:49,Reno5 Pro+ 5G,PDRM00
Reno5 A（A101OP、CPH2199）,quarterly,2022-01-24 11:51:49,Reno5 A,A101OP、CPH2199
Reno5 Z（CPH2211、CPH2213、PELM00）,quarterly,2022-01-24 11:51:49,Reno5 Z,CPH2211、CPH2213、PELM00
Reno5 Pro（PDRM00、PDSM00、PDST00、CPH2201）,quarterly,2022-01-24 11:51:49,Reno5 Pro,PDRM00、PDSM00、PDST00、CPH2201
Reno5（PEGM00、PEGT00、CPH2159、CPH2145）,quarterly,2022-01-24 11:51:49,Reno5,PEGM00、PEGT00、CPH2159、CPH2145
Reno4 SE 5G（PEAM00、PEAT00）,quarterly,2022-01-24 11:51:49,Reno4 SE 5G,PEAM00、PEAT00
Reno4 Pro 5G（PDNM00、PDNT00、CPH2089、CPH2109）,quarterly,2022-01-24 11:51:49,Reno4 Pro 5G,PDNM00、PDNT00、CPH2089、CPH2109
Reno4 5G（PDPT00、PDPM00、CPH2091）,quarterly,2022-01-24 11:51:49,Reno4 5G,PDPT00、PDPM00、CPH2091
Reno4 Pro（PDNT00、PDNM00、CPH2089）,quarterly,2022-01-24 11:51:49,Reno4 Pro,PDNT00、PDNM00、CPH2089
Reno4 （CPH2091、CPH2113）,quarterly,2022-01-24 11:51:49,Reno4 ,CPH2091、CPH2113
Reno4 F（CPH2209）,quarterly,2022-01-24 11:51:49,Reno4 F,CPH2209
Reno4Z 5G（CPH2065）,quarterly,2022-01-24 11:51:49,Reno4Z 5G,CPH2065
Reno4 Lite（CPH2119、CPH2125）,quarterly,2022-01-24 11:51:49,Reno4 Lite,CPH2119、CPH2125
Reno Ace2（PDHM00）,quarterly,2022-01-24 11:51:49,Reno Ace2,PDHM00
Reno Ace（PCLM10）,quarterly,2022-01-24 11:51:49,Reno Ace,PCLM10
Reno3 Pro 5G（PCRM00）,quarterly,2022-01-24 11:51:49,Reno3 Pro 5G,PCRM00
Reno3 Pro（CPH2035、CPH2036、CPH2037、CPH2009）,quarterly,2022-01-24 11:51:49,Reno3 Pro,CPH2035、CPH2036、CPH2037、CPH2009
Reno3  5G（PCLM50、A001OP、PDCM00）,quarterly,2022-01-24 11:51:49,Reno3  5G,PCLM50、A001OP、PDCM00
Reno3（PDCM00、CPH2043）,quarterly,2022-01-24 11:51:49,Reno3,PDCM00、CPH2043
Reno2 F（CPH1989）,quarterly,2022-01-24 11:51:49,Reno2 F,CPH1989
Reno2 Z（CPH1945、CPH1951、PCKM80）,quarterly,2022-01-24 11:51:49,Reno2 Z,CPH1945、CPH1951、PCKM80
Reno Z（PCDM10、PCDT10、CPH1979）,quarterly,2022-01-24 11:51:49,Reno Z,PCDM10、PCDT10、CPH1979
Reno2（PCKM00、CPH1907）,quarterly,2022-01-24 11:51:49,Reno2,PCKM00、CPH1907
Reno3 A（CPH2013、A002OP）,quarterly,2022-01-24 11:51:49,Reno3 A,CPH2013、A002OP
Reno A（PCDM10、PCDT10、CPH1979、CPH1983）,quarterly,2022-01-24 11:51:49,Reno A,PCDM10、PCDT10、CPH1979、CPH1983
Reno 10x Room（CPH1921、CPH1919、PCCM00、PCCT00）,quarterly,2022-01-24 11:51:49,Reno 10x Room,CPH1921、CPH1919、PCCM00、PCCT00
Reno 5G（CPH1921）,quarterly,2022-01-24 11:51:49,Reno 5G,CPH1921
Reno（CPH1917、CPH1921、PCAM00、PCAT00）,quarterly,2022-01-24 11:51:49,Reno,CPH1917、CPH1921、PCAM00、PCAT00
AX7 Pro/R17 Neo/RX17 Neo（CPH1893）,quarterly,2022-01-24 11:51:49,AX7 Pro/R17 Neo/RX17 Neo,CPH1893
R17Pro（PBDM00、PBDT00、CPH1877）,quarterly,2022-01-24 11:51:49,R17Pro,PBDM00、PBDT00、CPH1877
R17（PBEM00、PBET00、CPH1879）,quarterly,2022-01-24 11:51:49,R17,PBEM00、PBET00、CPH1879
R15x（PBCM10、PBCT10）,quarterly,2022-01-24 11:51:49,R15x,PBCM10、PBCT10
R15（PACM00、PACT00、CPH1835）,quarterly,2022-01-24 11:51:49,R15,PACM00、PACT00、CPH1835
R15Pro（CPH1831、CPH1833）,quarterly,2022-01-24 11:51:49,R15Pro,CPH1831、CPH1833
F19S（CPH2223）,quarterly,2022-01-24 11:51:49,F19S,CPH2223
F19/A74（CPH2197、CPH2219）,quarterly,2022-01-24 11:51:49,F19/A74,CPH2197、CPH2219
F19 Pro+ （CPH2213）,quarterly,2022-01-24 11:51:49,F19 Pro+ ,CPH2213
F19 Pro/Reno5 F （CPH2217、CPH2285）,quarterly,2022-01-24 11:51:49,F19 Pro/Reno5 F ,CPH2217、CPH2285
F17 Pro（CPH2119）,quarterly,2022-01-24 11:51:49,F17 Pro,CPH2119
F17（CPH2095）,quarterly,2022-01-24 11:51:49,F17,CPH2095
F15（CPH2001）,quarterly,2022-01-24 11:51:49,F15,CPH2001
F11 Pro（CPH1969、CPH1987）,quarterly,2022-01-24 11:51:49,F11 Pro,CPH1969、CPH1987
F11（CPH1911）,quarterly,2022-01-24 11:51:49,F11,CPH1911
F9（CPH1823、CPH1825、CPH1881）,quarterly,2022-01-24 11:51:49,F9,CPH1823、CPH1825、CPH1881
F7 Youth（CPH1859）,quarterly,2022-01-24 11:51:49,F7 Youth,CPH1859
F7（CPH1821）,quarterly,2022-01-24 11:51:49,F7,CPH1821
A7x（PERM00）,quarterly,2022-01-24 11:51:49,A7x,PERM00
A95 5G（PELM00）,quarterly,2022-01-24 11:51:49,A95 5G,PELM00
A95（CPH2365）,quarterly,2022-01-24 11:51:49,A95,CPH2365
