filename,first_12_bytes,spl,identifier,firmware_name,os_version,android_version,patch_type
A5_2020_EU_11_OTA_0540_all_jokUAv51Nb7e.ozip,PK,,60.0,,,,
CPH1941EUEX_11_OTA_1740_all_yS3e2FJ6ElAz.ozip,PK,,61.0,,,,
CPH1941EUEX_11_OTA_1780_all_xXcMo6g7lHnO.ozip,PK,,62.0,,,,
CPH1941EUEX_11_OTA_1820_all_oMrSvBuoJwyi.ozip,PK,,63.0,,,,
CPH1941EUEX_11_OTA_1840_all_I3iyDm9P6FQX.ozip,PK,,64.0,,,,
CPH1931EUEX_11_OTA_1860_all_BsyuHPMwmYdQ.ozip,PK,,65.0,,,,
CPH1931EUEX_11_OTA_1880_all_sE6trmFYjx2o.ozip,PK,,66.0,,,,
CPH1931EUEX_11_OTA_1900_all_1HpqQp4pvE4N.ozip,PK,,67.0,,,,
CPH1931EUEX_11_OTA_1940_all_5GgSE6HRdBwz.ozip,PK,,68.0,,,,
CPH1931EUEX_11_OTA_2000_all_mRPz3sMLOBp3.ozip,PK,,69.0,,,,
CPH2179EU_11_OTA_0140_all_5pUwJfsLkYjq.ozip,PK,,70.0,,,,
CPH2179EU_11_OTA_0220_all_DoWUXWV9wQpq.ozip,PK,,71.0,,,,
CPH2179EU_11_OTA_0400_all_iAKdaOMv0l42.ozip,PK,,72.0,,,,
CPH2179EU_11_OTA_0420_all_WrNQU8pFsbWe.ozip,PK,,73.0,,,,
CPH1917EX_11_OTA_2260_all_2ebsIEH2kP5u.ozip,OPPOENCRYPT!,2020-05-05,74.0,,,,
CPH1951EX_11_OTA_0160_all_1dCh3Hzsx0rw.ozip,OPPOENCRYPT!,2019-12-05,75.0,,,,
CPH1945EUEX_11_OTA_1320_all_7sjvjflHuTOq.ozip,OPPOENCRYPT!,2020-08-05,76.0,,,,
CPH1945EUEX_11_OTA_1360_all_VYLFNNN7Bacz.ozip,OPPOENCRYPT!,2020-09-05,77.0,,,,
CPH1951EUEX_11_OTA_1420_all_xO0yxUxKxb8L.ozip,OPPOENCRYPT!,2020-12-05,78.0,,,,
CPH1951EUEX_11_OTA_1440_all_yVTMor39u64H.ozip,OPPOENCRYPT!,2021-01-05,79.0,,,,
CPH1951EUEX_11_OTA_1460_all_ugzBPUmZ9H8Z.ozip,OPPOENCRYPT!,2021-03-05,80.0,,,,
CPH1907EX_11_OTA_0270_all_22IM8NiToUYo.ozip,OPPOENCRYPT!,2019-12-05,81.0,,,,
CPH1907EUEX_11_OTA_0300_all_dQSsPpyRcO6x.ozip,OPPOENCRYPT!,2020-01-05,82.0,,,,
CPH1907EUEX_11_OTA_1400_all_8w9BKakkRUQW.ozip,OPPOENCRYPT!,2020-10-05,83.0,,,,
CPH1907EUEX_11_OTA_1420_all_fnZZNEzcJkgP.ozip,OPPOENCRYPT!,2020-11-05,84.0,,,,
CPH1875EU_11_OTA_3060_all_bYYza6n9AX81.ozip,OPPOENCRYPT!,2020-04-05,85.0,,,,
CPH1875EU_11_OTA_3100_all_1YXRbQEeJYzI.ozip,OPPOENCRYPT!,2020-06-05,86.0,,,,
CPH1875EUEX_11_OTA_3120_all_1LdyQsmIpxeb.ozip,OPPOENCRYPT!,2020-07-05,87.0,,,,
CPH1875EUEX_11_OTA_3140_all_Y50GRYQ9wRaE.ozip,OPPOENCRYPT!,2020-08-05,88.0,,,,
CPH1875EUEX_11_OTA_3160_all_SC2qGrLZENiW.ozip,OPPOENCRYPT!,2020-09-05,89.0,,,,
CPH1875EUEX_11_OTA_3200_all_bAk2DrBDZqVs.ozip,OPPOENCRYPT!,2020-11-05,90.0,,,,
CPH1875EUEX_11_OTA_3220_all_8dGQKQvCVRfo.ozip,OPPOENCRYPT!,2020-12-05,91.0,,,,
CPH1875EUEX_11_OTA_3240_all_plfuptfeZdb6.ozip,OPPOENCRYPT!,2021-01-05,92.0,,,,
CPH1875EUEX_11_OTA_3260_all_GAttqO6tTfyr.ozip,OPPOENCRYPT!,2021-02-05,93.0,,,,
CPH1875EUEX_11_OTA_3280_all_iUpaySNeElZI.ozip,OPPOENCRYPT!,2021-03-05,94.0,,,,
CPH1875EUEX_11_OTA_3300_all_IVQkgdNhCMvK.ozip,OPPOENCRYPT!,2021-04-05,95.0,,,,
CPH1875EUEX_11_OTA_3320_all_Rw0BG5HinqZr.ozip,OPPOENCRYPT!,2021-06-05,96.0,,,,
CPH1875EUEX_11_OTA_3340_all_ZkOMmzqlnY4m.ozip,OPPOENCRYPT!,2021-07-05,97.0,,,,
CPH1875EUEX_11_OTA_3360_all_VVnucDhiJ0pH.ozip,OPPOENCRYPT!,2021-08-05,98.0,,,,
CPH1875EUEX_11_OTA_3380_all_k1RBbYDG9SwP.ozip,OPPOENCRYPT!,2021-09-05,99.0,,,,
CPH1801EX_11_OTA_0190_all_rTLlvT0FRFY7.ozip,PK,,100.0,,,,
A37fEX_11_OTA_032_all_201803191610.zip,PK,,101.0,,,,
CPH1877EX_11_OTA_3360_all_BQNLHgrFaZzY.ozip,OPPOENCRYPT!,2020-05-05,102.0,,,,
CPH1609EX_11_OTA_0300_all_201905072223.ozip,OPPOENCRYPT!,,103.0,,,,
CPH1803EX_11_OTA_0190_all_oDqEyGdYFIkN.ozip,PK,,104.0,,,,
A37fEX_11_OTA_034_all_201808170003.zip,PK,,105.0,,,,
