timestamp,device,period
2024-01-02,Galaxy Z Fold2 5G,monthly
2024-01-02,Galaxy Z Fold3 5G,monthly
2024-01-02,Galaxy Z Flip3 5G,monthly
2024-01-02,Galaxy Z Fold4,monthly
2024-01-02,Galaxy Z Flip4,monthly
2024-01-02,Galaxy Z Fold5,monthly
2024-01-02,Galaxy Z Flip5,monthly
2024-01-02,W23,monthly
2024-01-02,W23 flip,monthly
2024-01-02,W24,monthly
2024-01-02,W24 Flip,monthly
2024-01-02,Galaxy S20,monthly
2024-01-02,Galaxy S20 5G,monthly
2024-01-02,Galaxy S20+,monthly
2024-01-02,Galaxy S20+ 5G,monthly
2024-01-02,Galaxy S20 Ultra,monthly
2024-01-02,Galaxy S20 Ultra 5G,monthly
2024-01-02,Galaxy S20 FE,monthly
2024-01-02,Galaxy S20 FE 5G,monthly
2024-01-02,Galaxy S21 5G,monthly
2024-01-02,Galaxy S21+ 5G,monthly
2024-01-02,Galaxy S21 Ultra 5G,monthly
2024-01-02,Galaxy S21 FE 5G,monthly
2024-01-02,Galaxy S22,monthly
2024-01-02,Galaxy S22+,monthly
2024-01-02,Galaxy S22 Ultra,monthly
2024-01-02,Galaxy S23,monthly
2024-01-02,Galaxy S23+,monthly
2024-01-02,Galaxy S23 Ultra,monthly
2024-01-02,Galaxy Note20,monthly
2024-01-02,Galaxy Note20 5G,monthly
2024-01-02,Galaxy Note20 Ultra,monthly
2024-01-02,Galaxy Note20 Ultra 5G,monthly
2024-01-02,Enterprise Models: Galaxy A52,monthly
2024-01-02,Galaxy A52 5G,monthly
2024-01-02,Galaxy A52s 5G,monthly
2024-01-02,Galaxy A53 5G,monthly
2024-01-02,Galaxy A54 5G,monthly
2024-01-02,Galaxy Xcover5,monthly
2024-01-02,Galaxy Xcover6 Pro,monthly
2024-01-02,Galaxy Z Flip,quarterly
2024-01-02,Galaxy Z Flip 5G,quarterly
2024-01-02,Galaxy Z Fold2,quarterly
2024-01-02,Galaxy S10 Lite,quarterly
2024-01-02,Galaxy Note10 Lite,quarterly
2024-01-02,Galaxy A22e 5G,quarterly
2024-01-02,Galaxy A32,quarterly
2024-01-02,Galaxy A32 5G,quarterly
2024-01-02,Galaxy A03,quarterly
2024-01-02,Galaxy A03 core,quarterly
2024-01-02,Galaxy A13,quarterly
2024-01-02,Galaxy A13 5G,quarterly
2024-01-02,Galaxy A23,quarterly
2024-01-02,Galaxy A23 5G,quarterly
2024-01-02,Galaxy A33 5G,quarterly
2024-01-02,Galaxy A73 5G,quarterly
2024-01-02,Galaxy A04,quarterly
2024-01-02,Galaxy A04s,quarterly
2024-01-02,Galaxy A04e,quarterly
2024-01-02,Galaxy A14,quarterly
2024-01-02,Galaxy A14 5G,quarterly
2024-01-02,Galaxy A24,quarterly
2024-01-02,Galaxy A34 5G,quarterly
2024-01-02,Galaxy A05,quarterly
2024-01-02,Galaxy A05s,quarterly
2024-01-02,Galaxy M13,quarterly
2024-01-02,Galaxy M13 5G,quarterly
2024-01-02,Galaxy M23 5G,quarterly
2024-01-02,Galaxy M33 5G,quarterly
2024-01-02,Galaxy M53 5G,quarterly
2024-01-02,Galaxy M04,quarterly
