timestamp,device,period
2017-10-03,Galaxy S series (S8,monthly
2017-10-03,S8+,monthly
2017-10-03,S8 Active,monthly
2017-10-03,S7,monthly
2017-10-03,S7 edge,monthly
2017-10-03,S7 Active,monthly
2017-10-03,S6 edge+,monthly
2017-10-03,S6,monthly
2017-10-03,S6 edge,monthly
2017-10-03,S6 Active),monthly
2017-10-03,Galaxy Note series (Note 8,monthly
2017-10-03,Note 5,monthly
2017-10-03,Note 4,monthly
2017-10-03,Note edge),monthly
2017-10-03,Galaxy A series (A5 (2016),monthly
2017-10-03,A5 (2017)),monthly
2017-10-03,Galaxy S series (S8,quarterly
2017-10-03,S8+,quarterly
2017-10-03,S8 Active,quarterly
2017-10-03,S7,quarterly
2017-10-03,S7 edge,quarterly
2017-10-03,S7 Active,quarterly
2017-10-03,S6 edge+,quarterly
2017-10-03,S6,quarterly
2017-10-03,S6 edge,quarterly
2017-10-03,S6 Active),quarterly
2017-10-03,Galaxy Note series (Note 8,quarterly
2017-10-03,Note 5,quarterly
2017-10-03,Note 4,quarterly
2017-10-03,Note edge),quarterly
2017-10-03,Galaxy A series (A5 (2016),quarterly
2017-10-03,A5 (2017)),quarterly
