timestamp,device,period
2019-10-08,Galaxy Fold,monthly
2019-10-08,Galaxy S8,monthly
2019-10-08,Galaxy S8+,monthly
2019-10-08,Galaxy S8 Active,monthly
2019-10-08,Galaxy S9,monthly
2019-10-08,Galaxy S9+,monthly
2019-10-08,Galaxy S10,monthly
2019-10-08,Galaxy S10+,monthly
2019-10-08,Galaxy S10e,monthly
2019-10-08,Galaxy S10 5G,monthly
2019-10-08,Galaxy Note8,monthly
2019-10-08,Galaxy Note9,monthly
2019-10-08,Galaxy Note10,monthly
2019-10-08,Galaxy Note10 5G,monthly
2019-10-08,Galaxy Note10+,monthly
2019-10-08,Galaxy Note10+ 5G,monthly
2019-10-08,Galaxy A5 (2017),monthly
2019-10-08,Galaxy A8 (2018),monthly
2019-10-08,Galaxy A50,monthly
2019-10-08,Galaxy Xcover4s,monthly
2019-10-08,Galaxy Fold,quarterly
2019-10-08,Galaxy S8,quarterly
2019-10-08,Galaxy S8+,quarterly
2019-10-08,Galaxy S8 Active,quarterly
2019-10-08,Galaxy S9,quarterly
2019-10-08,Galaxy S9+,quarterly
2019-10-08,Galaxy S10,quarterly
2019-10-08,Galaxy S10+,quarterly
2019-10-08,Galaxy S10e,quarterly
2019-10-08,Galaxy S10 5G,quarterly
2019-10-08,Galaxy Note8,quarterly
2019-10-08,Galaxy Note9,quarterly
2019-10-08,Galaxy Note10,quarterly
2019-10-08,Galaxy Note10 5G,quarterly
2019-10-08,Galaxy Note10+,quarterly
2019-10-08,Galaxy Note10+ 5G,quarterly
2019-10-08,Galaxy A5 (2017),quarterly
2019-10-08,Galaxy A8 (2018),quarterly
2019-10-08,Galaxy A50,quarterly
2019-10-08,Galaxy Xcover4s,quarterly
