device,firmware_name,release_date,android_version,link,region,country,spl,chipset,keyword
y91,PD1818CF_EX_A_1.11.0,,1,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,"Qualcomm SDM439,Snapdragon 439 (12 nm)","qualcomm sdm439,snapdragon 439"
y95,PD1818F_EX_A_1.21.1,,1,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,"Qualcomm SDM439,Snapdragon 439 (12 nm)","qualcomm sdm439,snapdragon 439"
y81i,PD1732CF_EX_A_1.26.1,,1,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,Mediatek MT6761 Helio A22 (12 nm),mediatek mt6761 helio a22
y85,PD1803BF_EX_A_1.23.3,,Android 8.1 Oreo,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),"qualcomm msm8953,snapdragon 626"
y81,PD1732F_EX_A_2.6.3,,2,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762 helio p22
y65,PD1621BF_EX_A_1.18.2,,1,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,"Qualcomm MSM8917,Snapdragon 425 (28 nm)","qualcomm msm8917,snapdragon 425"
y71,PD1731F_EX_A_1.19.2,,1,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,"Qualcomm MSM8917,Snapdragon 425 (28 nm)","qualcomm msm8917,snapdragon 425"
y53,PD1628F_EX_A_3.2.2,,3,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,,"Qualcomm MSM8917,Snapdragon 425 (28 nm)","qualcomm msm8917,snapdragon 425"
x80 lite,PD2215F_EX_A_13.1.13.5.W30.V000L1,,13,https://www.vivo.com/si/support/system-update,si,Slovenia,12/1/22,Mediatek Dimensity 900 (6 nm),mediatek dimensity 900
x80 pro,PD2185F_EX_A_12.0.14.1.W30.V000L,,12,https://www.vivo.com/si/support/system-update,si,Slovenia,,"Qualcomm SM8450,Snapdragon 8 Gen 1 (4 nm), Mediatek Dimensity 9000 (4 nm)","qualcomm sm8450,snapdragon 8 gen 1,mediatek dimensity 9000"
y16,PD2216F_EX_A_12.0.10.7.W30.V000L1,,12,https://www.vivo.com/si/support/system-update,si,Slovenia,11/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y22s,PD2228F_EX_A_12.0.8.6.W30.V000L1,,12,https://www.vivo.com/si/support/system-update,si,Slovenia,11/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y35,PD2225F_EX_A_12.0.8.6.W30.V000L1,,12,https://www.vivo.com/si/support/system-update,si,Slovenia,10/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y21,PD2139F_EX_A_36.19.7,,Android 11,https://www.vivo.com/si/support/system-update,si,Slovenia,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y01,PD2140F_EX_A_36.25.1,,Android 12,https://www.vivo.com/si/support/system-update,si,Slovenia,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765
y76 5g,PD2156F_EX_A_36.10.50,,Android 12,https://www.vivo.com/si/support/system-update,si,Slovenia,10/1/22,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y33s,PD2147F_EX_A_36.19.1,,Android 12,https://www.vivo.com/si/support/system-update,si,Slovenia,10/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y21s,PD2138F_EX_A_36.19.1,,Android 11,https://www.vivo.com/si/support/system-update,si,Slovenia,10/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
v21e,PD2107F_EX_A_6.6.16,4/6/22,Android 12,https://www.vivo.com/kg/support/system-update,kg,Kyrgyzstan,,"Qualcomm SM7125,Snapdragon 720G (8 nm)","qualcomm sm7125,snapdragon 720g"
y15s,PD2140F_EX_A_1.15.0,4/6/22,Android 11,https://www.vivo.com/kg/support/system-update,kg,Kyrgyzstan,2/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y1s,PD2014F_EX_A_1.13.27,4/6/22,1,https://www.vivo.com/kg/support/system-update,kg,Kyrgyzstan,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y53s,PD2103F_EX_A_1.9.3,4/6/22,Android 11,https://www.vivo.com/kg/support/system-update,kg,Kyrgyzstan,3/1/22,"Qualcomm SM4350,Snapdragon 480 5G (8 nm)","qualcomm sm4350,snapdragon 480 5g"
y21,PD2139F_EX_A_1.3.8,4/6/22,Android 11,https://www.vivo.com/kg/support/system-update,kg,Kyrgyzstan,1/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
x90 pro,PD2242F_EX_A_13.1.15.1.W30.V000L1,9/13/23,13,https://www.vivo.com/pl/support/system-update,pl,Poland,8/1/23,Mediatek Dimensity 9200 (4 nm),mediatek dimensity 9200
x80 pro,PD2185F_EX_A_13.1.11.7.W30.V000L1,2/21/23,13,https://www.vivo.com/pl/support/system-update,pl,Poland,1/1/23,"Qualcomm SM8450,Snapdragon 8 Gen 1 (4 nm), Mediatek Dimensity 9000 (4 nm)","qualcomm sm8450,snapdragon 8 gen 1,mediatek dimensity 9000"
x60 pro,PD2059F_EX_A_36.7.15,3/8/23,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,,Qualcomm SM8250,qualcomm sm8250
x51 5g,PD2005F_EX_A_38.13.7,5/19/22,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,4/1/22,"Qualcomm SM7250,Snapdragon 765G 5G (7 nm)","qualcomm sm7250,snapdragon 765g 5g"
v23 5g,PD2167BF_EX_A_13.1.14.0.W30.V000L1,1/16/23,13,https://www.vivo.com/pl/support/system-update,pl,Poland,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
v21 5g,PD2083F_EX_A_36.9.22,1/16/23,Android 12,https://www.vivo.com/pl/support/system-update,pl,Poland,,Mediatek Dimensity 800U (7 nm),mediatek dimensity 800u
y35,PD2225F_EX_A_12.0.9.0.W30.V000L1,1/16/23,12,https://www.vivo.com/pl/support/system-update,pl,Poland,,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y16,PD2216F_EX_A_12.0.8.29.W30.V000L1,7/12/23,12,https://www.vivo.com/pl/support/system-update,pl,Poland,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y22s,PD2228F_EX_A_13.1.1.4.W30.V000L1,1/16/23,13,https://www.vivo.com/pl/support/system-update,pl,Poland,,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y76 5g,PD2156F_EX_A_36.10.55,1/16/23,Android 12,https://www.vivo.com/pl/support/system-update,pl,Poland,11/1/22,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y01,PD2140F_EX_A_36.25.1,12/7/22,Android 12,https://www.vivo.com/pl/support/system-update,pl,Poland,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765
y52 5g,PD2069F_EX_A_36.9.48,1/16/23,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y33s,PD2147F_EX_A_36.21.4,1/16/23,Android 12,https://www.vivo.com/pl/support/system-update,pl,Poland,,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y21s,PD2138F_EX_A_36.22.2,2/21/23,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,1/1/23,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y72 5g,PD2069F_EX_A_36.9.36,3/8/23,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,9/1/22,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y11s,PD2042F_EX_A_36.11.39,4/22/22,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y70,PD2038F_EX_A_38.9.22,11/7/22,Android 11,https://www.vivo.com/pl/support/system-update,pl,Poland,9/1/22,"Qualcomm SDM665,Snapdragon 665 (11 nm)","qualcomm sdm665,snapdragon 665"
y20s,PD2034EF_EX_A_38.16.12,2/21/23,Android 10,https://www.vivo.com/pl/support/system-update,pl,Poland,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
x90 pro,PD2242F_EX_A_13.1.10.4.W30.V000L1,3/10/23,13,https://www.vivo.com/ro/support/system-update,ro,Romania,,Mediatek Dimensity 9200 (4 nm),mediatek dimensity 9200
x80 lite,PD2215F_EX_A_13.1.13.5.W30.V000L1,3/10/23,13,https://www.vivo.com/ro/support/system-update,ro,Romania,12/1/22,Mediatek Dimensity 900 (6 nm),mediatek dimensity 900
x80 pro,PD2185F_EX_A_13.1.11.1.W30.V000L1,1/16/23,13,https://www.vivo.com/ro/support/system-update,ro,Romania,12/1/22,"Qualcomm SM8450,Snapdragon 8 Gen 1 (4 nm), Mediatek Dimensity 9000 (4 nm)","qualcomm sm8450,snapdragon 8 gen 1,mediatek dimensity 9000"
x60 pro,PD2059F_EX_A_36.7.15,3/10/23,Android 11,https://www.vivo.com/ro/support/system-update,ro,Romania,,Qualcomm SM8250,qualcomm sm8250
v23 5g,PD2167BF_EX_A_13.1.14.0.W30.V000L1,1/16/23,13,https://www.vivo.com/ro/support/system-update,ro,Romania,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
v21 5g,PD2083F_EX_A_36.9.22,1/16/23,Android 12,https://www.vivo.com/ro/support/system-update,ro,Romania,,Mediatek Dimensity 800U (7 nm),mediatek dimensity 800u
y35,PD2225F_EX_A_12.0.9.0.W30.V000L1,1/16/23,12,https://www.vivo.com/ro/support/system-update,ro,Romania,,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y16,PD2216F_EX_A_12.0.8.29.W30.V000L1,7/12/23,12,https://www.vivo.com/ro/support/system-update,ro,Romania,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y22s,PD2228F_EX_A_13.1.1.4.W30.V000L1,1/16/23,13,https://www.vivo.com/ro/support/system-update,ro,Romania,,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y55 5g,PD2166F_EX_A_3.19.7,1/16/23,3,https://www.vivo.com/ro/support/system-update,ro,Romania,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y33s,PD2147F_EX_A_36.21.3,1/16/23,Android 12,https://www.vivo.com/ro/support/system-update,ro,Romania,12/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y21s,PD2138F_EX_A_36.21.1,1/16/23,Android 11,https://www.vivo.com/ro/support/system-update,ro,Romania,,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y21,PD2139F_EX_A_36.19.7,12/9/22,Android 11,https://www.vivo.com/ro/support/system-update,ro,Romania,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y72 5g,PD2069F_EX_A_36.9.48,3/10/23,Android 11,https://www.vivo.com/ro/support/system-update,ro,Romania,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y70,PD2038F_EX_A_36.8.20,6/29/22,Android 11,https://www.vivo.com/ro/support/system-update,ro,Romania,,"Qualcomm SDM665,Snapdragon 665 (11 nm)","qualcomm sdm665,snapdragon 665"
y20s,PD2034EF_EX_A_38.16.9,1/16/23,Android 10,https://www.vivo.com/ro/support/system-update,ro,Romania,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y11s,PD2042F_EX_A_38.16.9,1/16/23,Android 11,https://www.vivo.com/ro/support/system-update,ro,Romania,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
v23e,File size,,Android 12,https://www.vivo.com/ge/support/system-update,ge,Georgia,,Mediatek MT6781 Helio G96 (12 nm),mediatek mt6781 helio g96
v23,File size,,Android 12,https://www.vivo.com/ge/support/system-update,ge,Georgia,,Mediatek Dimensity 1200 (6 nm),mediatek dimensity 1200
y02,ფაილის ზომა,,Android 10,https://www.vivo.com/ge/support/system-update,ge,Georgia,,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762 helio p22
y21,File size,,Android 11,https://www.vivo.com/ge/support/system-update,ge,Georgia,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y33s,ფაილის ზომა,,Android 12,https://www.vivo.com/ge/support/system-update,ge,Georgia,,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y53s,File size,,Android 11,https://www.vivo.com/ge/support/system-update,ge,Georgia,,"Qualcomm SM4350,Snapdragon 480 5G (8 nm)","qualcomm sm4350,snapdragon 480 5g"
y22,PD2226F_EX_A_12.0.15.9.W20.V000L1,5/12/23,12,https://www.vivo.com/dz/support/system-update,dz,Algeria,1/1/23,Mediatek MT6769Z Helio G85 (12 nm),mediatek mt6769z helio g85
y02,PD2236DF_EX_A_12.0.6.2.W20.V000L1,5/12/23,Android 10,https://www.vivo.com/dz/support/system-update,dz,Algeria,2/1/23,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762 helio p22
y35,PD2225F_EX_A_13.1.1.9.W20.V000L1,5/12/23,13,https://www.vivo.com/dz/support/system-update,dz,Algeria,2/1/23,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
v25,PD2215F_EX_A_12.0.8.5.W20.V000L1,12/1/22,12,https://www.vivo.com/ma/support/system-update,ma,Morocco,11/1/22,Mediatek Dimensity 900 (6 nm),mediatek dimensity 900
v23e,PD2150F_EX_A_6.18.0,12/1/22,Android 12,https://www.vivo.com/ma/support/system-update,ma,Morocco,10/1/22,Mediatek MT6781 Helio G96 (12 nm),mediatek mt6781 helio g96
v23 5g,PD2167BF_EX_A_12.0.14.3.W20.V000L1,10/11/22,12,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
v20 se,PD2038F_EX_A_8.9.18,10/11/22,8,https://www.vivo.com/ma/support/system-update,ma,Morocco,,"Qualcomm SDM665,Snapdragon 665 (11 nm)","qualcomm sdm665,snapdragon 665"
v20,PD2039F_EX_A_6.21.9,10/11/22,6,https://www.vivo.com/ma/support/system-update,ma,Morocco,,"Qualcomm SM7125,Snapdragon 720G (8 nm)","qualcomm sm7125,snapdragon 720g"
v19,PD1969F_EX_A_6.9.16,12/1/22,6,https://www.vivo.com/ma/support/system-update,ma,Morocco,,"Qualcomm SDM712,Snapdragon 712 (10 nm)","qualcomm sdm712,snapdragon 712"
v17 pro,PD1931F_EX_A_9.2.9,10/11/22,9,https://www.vivo.com/ma/support/system-update,ma,Morocco,,"Qualcomm SDM675,Snapdragon 675 (11 nm)","qualcomm sdm675,snapdragon 675"
y16,PD2216F_EX_A_12.0.8.28.W20.V000L1,12/1/22,12,https://www.vivo.com/ma/support/system-update,ma,Morocco,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y35,PD2225F_EX_A_12.0.8.7.W20.V000L1,12/1/22,12,https://www.vivo.com/ma/support/system-update,ma,Morocco,10/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y22,PD2226F_EX_A_12.0.14.2.W20.V000L1,12/1/22,12,https://www.vivo.com/ma/support/system-update,ma,Morocco,10/1/22,Mediatek MT6769Z Helio G85 (12 nm),mediatek mt6769z helio g85
y01,PD2140F_EX_A_6.20.4,6/15/22,Android 12,https://www.vivo.com/ma/support/system-update,ma,Morocco,4/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765
y33s,PD2147F_EX_A_6.19.1,12/1/22,Android 12,https://www.vivo.com/ma/support/system-update,ma,Morocco,10/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y15s,PD2140F_EX_A_6.20.4,6/15/22,Android 11,https://www.vivo.com/ma/support/system-update,ma,Morocco,4/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y21,PD2139F_EX_A_6.21.0,12/1/22,Android 11,https://www.vivo.com/ma/support/system-update,ma,Morocco,11/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y19,PD1934F_EX_A_8.9.22,10/11/22,8,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6768 Helio P65 (12 nm),mediatek mt6768 helio p65
y12s,PD2036F_EX_A_6.15.2,12/1/22,6,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y20s,PD2034F_EX_A_1.9.25,10/11/22,Android 10,https://www.vivo.com/ma/support/system-update,ma,Morocco,5/1/22,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y20,PD2034F_EX_A_1.9.27,10/11/22,Android 10,https://www.vivo.com/ma/support/system-update,ma,Morocco,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y1s,PD2014F_EX_A_1.13.41,12/1/22,1,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y11,PD1930F_EX_A_6.8.55,4/22/22,6,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6582–ú,mediatek mt6582–ú
y12,PD1901BF_EX_A_6.12.21,4/2/22,6,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762 helio p22
y15,PD1901BF_EX_A_6.12.24,10/11/22,6,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762 helio p22
y91c,PD1818HF_EX_A_1.22.2,10/11/22,Android 8.1 Oreo,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762
s1,PD1913F_EX_A_8.7.23,1/21/22,8,https://www.vivo.com/ma/support/system-update,ma,Morocco,,Mediatek MT6768 Helio P65 (12 nm),mediatek mt6768 helio p65
x90 pro,PD2242F_EX_A_13.1.10.4.W30.V000L1,3/2/23,13,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 9200 (4 nm),mediatek dimensity 9200
x80 pro,PD2185F_EX_A_13.1.11.7.W30.V000L1,2/21/23,13,https://www.vivo.com/fr/support/system-update,fr,France,1/1/23,"Qualcomm SM8450,Snapdragon 8 Gen 1 (4 nm), Mediatek Dimensity 9000 (4 nm)","qualcomm sm8450,snapdragon 8 gen 1,mediatek dimensity 9000"
x60 pro,PD2059F_EX_A_36.7.15,1/16/23,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,,Qualcomm SM8250,qualcomm sm8250
x51 5g,PD2005F_EX_A_36.8.18,4/22/22,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,,"Qualcomm SM7250,Snapdragon 765G 5G (7 nm)","qualcomm sm7250,snapdragon 765g 5g"
v23 5g,PD2167BF_EX_A_13.1.14.0.W30.V000L1,1/16/23,13,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
v21 5g,PD2083F_EX_A_36.9.22,3/2/23,Android 12,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 800U (7 nm),mediatek dimensity 800u
y35,PD2225F_EX_A_12.0.9.0.W30.V000L1,1/16/23,12,https://www.vivo.com/fr/support/system-update,fr,France,,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y16,PD2216F_EX_A_12.0.8.29.W30.V000L1,7/12/23,12,https://www.vivo.com/fr/support/system-update,fr,France,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y22s,PD2228F_EX_A_13.1.1.4.W30.V000L1,1/16/23,13,https://www.vivo.com/fr/support/system-update,fr,France,,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y01,PD2140F_EX_A_36.25.1,12/8/22,Android 12,https://www.vivo.com/fr/support/system-update,fr,France,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765
y55 5g,PD2166F_EX_A_3.19.10,2/21/23,3,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y76 5g,PD2156F_EX_A_36.10.48,11/7/22,Android 12,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y21,PD2139F_EX_A_36.19.7,12/8/22,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y21s,PD2138F_EX_A_36.22.2,2/21/23,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,1/1/23,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y33s,PD2147F_EX_A_36.21.3,1/16/23,Android 12,https://www.vivo.com/fr/support/system-update,fr,France,12/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y52 5g,PD2069F_EX_A_36.9.48,1/16/23,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y72 5g,PD2069F_EX_A_36.9.48,1/16/23,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y11s,PD2042F_EX_A_38.16.12,2/21/23,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y70,PD2038F_EX_A_38.9.22,11/7/22,Android 11,https://www.vivo.com/fr/support/system-update,fr,France,9/1/22,"Qualcomm SDM665,Snapdragon 665 (11 nm)","qualcomm sdm665,snapdragon 665"
y20s,PD2034EF_EX_A_38.16.12,2/21/23,Android 10,https://www.vivo.com/fr/support/system-update,fr,France,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
v25,PD2215F_EX_A_12.0.8.5.W30.V000L1,12/16/22,12,https://www.vivo.com/il/support/system-update,il,Israel,,Mediatek Dimensity 900 (6 nm),mediatek dimensity 900
v23 5g,PD2167F_EX_A_12.0.14.4.W30.V000L1,11/8/22,12,https://www.vivo.com/il/support/system-update,il,Israel,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
y22s,PD2228F_EX_A_12.0.8.6.W30.V000L1,12/16/22,12,https://www.vivo.com/il/support/system-update,il,Israel,11/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y35,PD2225F_EX_A_12.0.8.6.W30.V000L1,12/16/22,12,https://www.vivo.com/il/support/system-update,il,Israel,10/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y21,PD2139F_EX_A_36.19.7,12/16/22,Android 11,https://www.vivo.com/il/support/system-update,il,Israel,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y33s,PD2147F_EX_A_36.16.1,11/8/22,Android 12,https://www.vivo.com/il/support/system-update,il,Israel,7/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y76 5g,PD2156F_EX_A_36.10.50,12/16/22,Android 12,https://www.vivo.com/il/support/system-update,il,Israel,10/1/22,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
nex 3,PD1924F_EX_A_6.17.5,3/15/22,Android 10,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,"Qualcomm SM8150,Snapdragon 855+ (7 nm)","qualcomm sm8150,snapdragon 855+"
y55,PD2201F_EX_A_12.0.11.0.W20.V000L1,10/12/22,12,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,8/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y16,PD2216F_EX_A_12.0.7.40.W20.V000L1,10/12/22,12,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y22,PD2226F_EX_A_12.0.13.2.W20.V000L1,10/12/22,12,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,9/1/22,Mediatek MT6769Z Helio G85 (12 nm),mediatek mt6769z helio g85
y15s,PD2140F_EX_A_6.20.4,6/15/22,Android 11,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,4/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y33s,PD2147F_EX_A_6.16.1,10/12/22,Android 12,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,7/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y21,PD2139F_EX_A_6.19.7,10/12/22,Android 11,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y53s,PD2103F_EX_A_6.18.1,10/12/22,Android 11,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,7/1/22,"Qualcomm SM4350,Snapdragon 480 5G (8 nm)","qualcomm sm4350,snapdragon 480 5g"
y31,PD2050F_EX_A_6.8.0,10/12/22,6,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,"Qualcomm SM6115,Snapdragon 662 (11 nm)","qualcomm sm6115,snapdragon 662"
y1s,PD2014F_EX_A_1.13.36,10/12/22,1,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y20,PD2034F_EX_A_1.9.27,10/12/22,Android 10,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y12s,PD2036F_EX_A_6.13.0,4/22/22,6,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,3/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y30,PD1987F_EX_A_6.17.2,10/12/22,6,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y19,PD1934F_EX_A_8.9.22,10/12/22,8,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,Mediatek MT6768 Helio P65 (12 nm),mediatek mt6768 helio p65
y12,PD1901BF_EX_A_6.11.15,6/23/21,6,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,2/1/21,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762 helio p22
y17,PD1901F_EX_A_1.58.4,10/12/22,1,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y93lite,PD1818F_EX_A_1.20.12,5/8/21,Android 8.1 Oreo,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,Qualcomm SDM439 Snapdragon 439 (12 nm),"qualcomm sdm439,snapdragon 439"
y91c,PD1818HF_EX_A_1.22.2,10/12/22,Android 8.1 Oreo,https://www.vivo.com/kz/support/system-update,kz,Kazakhstan,,Mediatek MT6762 Helio P22 (12 nm),mediatek mt6762
