firmware_name,spl,post_version,post_build,android_version
PD2225F_EX_A_12.0.10.4.W20.V000L1-update-full_1672216743.zip,2022-12-01,PD2225F_EX_A_12.0.10.4.W20.V000L1,vivo/V2205/V2205:12/SP1A.210812.003/compiler12131416:user/release-keys,Android 12
PD2216F_EX_A_12.0.8.29.W30.V000L1-update-full_1667889612.zip,2022-10-01,PD2216F_EX_A_12.0.8.29.W30.V000L1,vivo/V2204/V2204:12/SP1A.210812.003/compiler10192307:user/release-keys,Android 12
PD2225F_EX_A_13.1.1.6.W30.V000L1-update-full_1675763121.zip,2022-12-01,PD2225F_EX_A_13.1.1.6.W30.V000L1,vivo/V2205/V2205:13/TP1A.220624.014/compiler12132128:user/release-keys,Android 13
PD2236F_EX_A_12.0.6.8.W20.V000L1-update-full_1672319633.zip,2022-12-01,PD2236F_EX_A_12.0.6.8.W20.V000L1,vivo/V2217/V2217:12/SP1A.210812.003/compiler12221711:user/release-keys,Android 12
PD2216F_EX_A_12.0.10.6.W20.V000L1-update-full_1670902580.zip,2022-11-01,PD2216F_EX_A_12.0.10.6.W20.V000L1,vivo/V2204/V2204:12/SP1A.210812.003/compiler11281631:user/release-keys,Android 12
PD2059F_EX_A_36.7.12-update-full_1664346032.zip,2022-09-01,PD2059F_EX_A_36.7.12,vivo/2046/2046:12/SP1A.210812.003/compiler09221828:user/release-keys,Android 12
PD2038F_EX_A_38.9.22-update-full_1665364531.zip,2022-09-01,PD2038F_EX_A_38.9.22,vivo/2023N/2023:12/SP1A.210812.003/compiler09072213:user/release-keys,Android 12
PD2147F_EX_A_1.13.7-update-full_1657091614.zip,2022-06-01,PD2147F_EX_A_1.13.7,vivo/2109/2109:11/RP1A.200720.012/compiler0615180525:user/release-keys,Android 11
PD2185F_EX_A_12.0.14.1.W30.V000L1-update-full_1669252400.zip,2022-11-01,PD2185F_EX_A_12.0.14.1.W30.V000L1,vivo/V2145/V2145:12/SP1A.210812.003/compiler11081849:user/release-keys,Android 12
PD2147F_EX_A_1.12.3-update-full_1646133283.zip,2022-02-01,PD2147F_EX_A_1.12.3,vivo/2109/2109:11/RP1A.200720.012/compiler0217213534:user/release-keys,Android 11
PD2107F_EX_A_6.6.22-update-full_1654755961.zip,2022-05-01,PD2107F_EX_A_6.6.22,vivo/2061TN/2061:12/SP1A.210812.003/compiler05101748:user/release-keys,Android 12
PD2268F_EX_A_13.0.10.3.W20.V000L1-update-full_1690299626.zip,2023-07-01,PD2268F_EX_A_13.0.10.3.W20.V000L1,vivo/V2237/V2237:13/TP1A.220624.014/compiler07132114:user/release-keys,Android 13
PD1901BF_EX_A_6.11.15-update-full_1617781021.zip,2021-02-01,PD1901BF_EX_A_6.11.15,vivo/1901/1901:11/RP1A.200720.012/compiler0324201251:user/release-keys,Android 11
PD2140F_EX_A_36.21.5-update-full_1654828393.zip,2022-05-01,PD2140F_EX_A_36.21.5,vivo/2020C/2120:12/SP1A.210812.003/compiler05191647:user/release-keys,Android 12
PD2014F_EX_A_1.13.31-update-full_1652060130.zip,2022-04-01,PD2014F_EX_A_1.13.31,vivo/2015/2015:10/QP1A.190711.020/compiler04081530:user/release-keys,Android 10
PD2358F_EX_A_14.0.9.4.W20.V000L1-update-full_1712477094.zip,2024-03-01,PD2358F_EX_A_14.0.9.4.W20.V000L1,vivo/V2342/V2342:14/UP1A.231005.007/compiler04031856:user/release-keys,Android 14
