timestamp,device,period
2022-10-05,"iQOO 9, iQOO 9 SE, iQOO 9 Pro, iQOO 9T",monthly
2022-10-05,"iQOO 7, iQOO 7 Legend",monthly
2022-10-05,iQOO Neo6,monthly
2022-10-05,"iQOO Z6, iQOO Z6 5G, iQOO Z6 Lite 5G",monthly
2022-10-05,iQOO Z5,monthly
2022-10-05,iQOO Z3 5G,monthly
2022-10-05,"X80, X80 Pro, X80 Lite 5G",monthly
2022-10-05,"X70, X70t Pro, X70 Pro+",monthly
2022-10-05,"X60, X60 Pro, X60 Pro+",monthly
2022-10-05,"V25, V25e, V25 Pro",monthly
2022-10-05,"V23 5G, V23e 5G, V23 Pro",monthly
2022-10-05,"V21, V21 5G, V21e, V21e 5G",monthly
2022-10-05,"V20, V20 2021",monthly
2022-10-05,"T1, T1 5G, T1x, T1 Pro 5G",monthly
2022-10-05,"Y01, Y01A",monthly
2022-10-05,"Y02, Y02s",monthly
2022-10-05,"Y15A, Y15C, Y15s",monthly
2022-10-05,Y16,monthly
2022-10-05,Y20T,monthly
2022-10-05,"Y21, Y21A, Y21e, Y21s, Y21T",monthly
2022-10-05,"Y22, Y22s",monthly
2022-10-05,Y30 5G,monthly
2022-10-05,"Y33s, Y33T",monthly
2022-10-05,Y35,monthly
2022-10-05,"Y55, Y55 5G",monthly
2022-10-05,Y76 5G,monthly
2022-10-05,iQOO 3,quarterly
2022-10-05,X50 Pro,quarterly
2022-10-05,"V20 Pro, V20 SE",quarterly
2022-10-05,S1 Prime,quarterly
2022-10-05,Y1s,quarterly
2022-10-05,Y3s,quarterly
2022-10-05,Y11s,quarterly
2022-10-05,"Y12A, Y12D, Y12G, Y12s, Y12s 2021",quarterly
2022-10-05,"Y20, Y20A, Y20A 2021, Y20i, Y20G, Y20G 2021, Y20 2021, Y20s, Y20s [G]",quarterly
2022-10-05,Y30,quarterly
2022-10-05,Y31,quarterly
2022-10-05,Y33,quarterly
2022-10-05,"Y51, Y51s",quarterly
2022-10-05,Y52 5G,quarterly
2022-10-05,Y53s,quarterly
2022-10-05,Y70,quarterly
2022-10-05,Y72 5G,quarterly
2022-10-05,Y73,quarterly
2022-10-05,NEX,regular
2022-10-05,NEX 3,regular
2022-10-05,NEX Dual Display,regular
2022-10-05,"X50, X50 Lite, vivo X50e",regular
2022-10-05,X21,regular
2022-10-05,V19,regular
2022-10-05,"V17, V17 Pro",regular
2022-10-05,"V15, V15Pro",regular
2022-10-05,"V11, V11i, V11Pro",regular
2022-10-05,"V9, V9 6GB, V9 Pro, V9 Youth",regular
2022-10-05,"S1, S1 Pro",regular
2022-10-05,Z1x,regular
2022-10-05,Z1Pro,regular
2022-10-05,U10,regular
2022-10-05,U20,regular
2022-10-05,Y11,regular
2022-10-05,Y12,regular
2022-10-05,Y15,regular
2022-10-05,Y17,regular
2022-10-05,Y19,regular
2022-10-05,Y50,regular
