timestamp,device,period
2024-02-23,iQOO 12,monthly
2024-02-23,iQOO 11,monthly
2024-02-23,"iQOO 9, iQOO 9 SE, iQOO 9 Pro, iQOO 9T",monthly
2024-02-23,"iQOO 7, iQOO 7 Legend",monthly
2024-02-23,iQOO Neo6,monthly
2024-02-23,"iQOO Neo7, iQOO Neo7 Pro",monthly
2024-02-23,"iQOO Z6, iQOO Z6 5G, iQOO Z6 Lite 5G",monthly
2024-02-23,"iQOO Z7 5G, iQOO Z7x 5G, iQOO Z7s 5G, iQOO Z7 Pro 5G",monthly
2024-02-23,iQOO Z5,monthly
2024-02-23,iQOO Z3 5G,monthly
2024-02-23,"X100, X100 Pro",monthly
2024-02-23,"X90, X90 Pro",monthly
2024-02-23,"X80, X80 Pro, X80 Lite 5G",monthly
2024-02-23,"X70, X70t Pro, X70 Pro+",monthly
2024-02-23,"X60, X60 Pro, X60 Pro+",monthly
2024-02-23,V30 Lite,monthly
2024-02-23,"V29, V29 Pro, V29e, V29e 5G, V29 Lite 5G",monthly
2024-02-23,"V27, V27e, V27 pro",monthly
2024-02-23,"V25, V25e, V25 Pro",monthly
2024-02-23,"V23 5G, V23e 5G, V23 Pro",monthly
2024-02-23,"V21 5G, V21e 5G",monthly
2024-02-23,"T2 5G, T2 Pro 5G",monthly
2024-02-23,"T1, T1 5G, T1x, T1 Pro 5G",monthly
2024-02-23,"Y02A, Y02t",monthly
2024-02-23,Y15C,monthly
2024-02-23,Y17s,monthly
2024-02-23,"Y21, Y21s, Y21T",monthly
2024-02-23,Y27 5G,monthly
2024-02-23,"Y33s, Y33T",monthly
2024-02-23,"Y36, Y36 5G",monthly
2024-02-23,"Y55, Y55 5G",monthly
2024-02-23,Y56 5G,monthly
2024-02-23,Y78 5G,monthly
2024-02-23,"Y100, Y100A",monthly
2024-02-23,V20 SE,quarterly
2024-02-23,S1 Prime,quarterly
2024-02-23,"Y01, Y01A",quarterly
2024-02-23,"Y02, Y02s",quarterly
2024-02-23,Y3s,quarterly
2024-02-23,Y12D,quarterly
2024-02-23,"Y15A, Y15s",quarterly
2024-02-23,Y16,quarterly
2024-02-23,"Y20G 2021, Y20 2021, Y20s [G], Y20T",quarterly
2024-02-23,"Y21A, Y21e",quarterly
2024-02-23,"Y22, Y22s",quarterly
2024-02-23,"Y30, Y30 5G",quarterly
2024-02-23,Y31,quarterly
2024-02-23,Y33,quarterly
2024-02-23,Y35,quarterly
2024-02-23,"Y51, Y51s",quarterly
2024-02-23,Y52 5G,quarterly
2024-02-23,Y53s,quarterly
2024-02-23,Y55 5G,quarterly
2024-02-23,Y70,quarterly
2024-02-23,Y72 5G,quarterly
2024-02-23,Y73,quarterly
2024-02-23,Y76 5G,quarterly
2024-02-23,NEX,regular
2024-02-23,NEX 3,regular
2024-02-23,NEX Dual Display,regular
2024-02-23,iQOO 3,regular
2024-02-23,"X50, X50 Pro, X50 Lite, vivo X50e",regular
2024-02-23,X21,regular
2024-02-23,"V21, V21e",regular
2024-02-23,"V20, V20 2021, V20 Pro",regular
2024-02-23,V19,regular
2024-02-23,"V17, V17 Pro",regular
2024-02-23,"V15, V15Pro",regular
2024-02-23,"V11, V11i, V11Pro",regular
2024-02-23,"V9, V9 6GB, V9 Pro, V9 Youth",regular
2024-02-23,"S1, S1 Pro",regular
2024-02-23,Z1x,regular
2024-02-23,Z1Pro,regular
2024-02-23,U10,regular
2024-02-23,U20,regular
2024-02-23,Y1s,regular
2024-02-23,"Y11, Y11s",regular
2024-02-23,"Y12, Y12A, Y12G, Y12s 2021, Y12s",regular
2024-02-23,Y15,regular
2024-02-23,Y17,regular
2024-02-23,Y19,regular
2024-02-23,"Y20, Y20A, Y20A 2021, Y20i, Y20s",regular
2024-02-23,Y50,regular
