timestamp,device,period
2023-02-06,iQOO 11,monthly
2023-02-06,"iQOO 9, iQOO 9 SE, iQOO 9 Pro, iQOO 9T",monthly
2023-02-06,"iQOO 7, iQOO 7 Legend",monthly
2023-02-06,iQOO Neo6,monthly
2023-02-06,"iQOO Z6, iQOO Z6 5G, iQOO Z6 Lite 5G",monthly
2023-02-06,iQOO Z5,monthly
2023-02-06,iQOO Z3 5G,monthly
2023-02-06,"X90, X90 Pro",monthly
2023-02-06,"X80, X80 Pro, X80 Lite 5G",monthly
2023-02-06,"X70, X70t Pro, X70 Pro+",monthly
2023-02-06,"X60, X60 Pro, X60 Pro+",monthly
2023-02-06,"V25, V25e, V25 Pro",monthly
2023-02-06,"V23 5G, V23e 5G, V23 Pro",monthly
2023-02-06,"V21, V21 5G, V21e, V21e 5G",monthly
2023-02-06,"V20, V20 2021",monthly
2023-02-06,"T1, T1 5G, T1x, T1 Pro 5G",monthly
2023-02-06,Y01A,monthly
2023-02-06,"Y02, Y02s",monthly
2023-02-06,Y15C,monthly
2023-02-06,Y16,monthly
2023-02-06,"Y21, Y21s, Y21T",monthly
2023-02-06,"Y22, Y22s",monthly
2023-02-06,Y30 5G,monthly
2023-02-06,"Y33s, Y33T",monthly
2023-02-06,Y35,monthly
2023-02-06,"Y55, Y55 5G",monthly
2023-02-06,iQOO 3,quarterly
2023-02-06,X50 Pro,quarterly
2023-02-06,"V20 Pro, V20 SE",quarterly
2023-02-06,S1 Prime,quarterly
2023-02-06,"Y01, Y1s",quarterly
2023-02-06,Y3s,quarterly
2023-02-06,Y11s,quarterly
2023-02-06,"Y15A, Y15s",quarterly
2023-02-06,"Y12A, Y12D, Y12G, Y12s, Y12s 2021",quarterly
2023-02-06,"Y20, Y20A, Y20A 2021, Y20i, Y20G, Y20G 2021, Y20 2021, Y20s, Y20s [G], Y20T",quarterly
2023-02-06,"Y21A, Y21e",quarterly
2023-02-06,Y30,quarterly
2023-02-06,Y31,quarterly
2023-02-06,Y33,quarterly
2023-02-06,"Y51, Y51s",quarterly
2023-02-06,Y52 5G,quarterly
2023-02-06,Y53s,quarterly
2023-02-06,Y55 5G,quarterly
2023-02-06,Y70,quarterly
2023-02-06,Y72 5G,quarterly
2023-02-06,Y73,quarterly
2023-02-06,Y76 5G,quarterly
2023-02-06,NEX,regular
2023-02-06,NEX 3,regular
2023-02-06,NEX Dual Display,regular
2023-02-06,"X50, X50 Lite, vivo X50e",regular
2023-02-06,X21,regular
2023-02-06,V19,regular
2023-02-06,"V17, V17 Pro",regular
2023-02-06,"V15, V15Pro",regular
2023-02-06,"V11, V11i, V11Pro",regular
2023-02-06,"V9, V9 6GB, V9 Pro, V9 Youth",regular
2023-02-06,"S1, S1 Pro",regular
2023-02-06,Z1x,regular
2023-02-06,Z1Pro,regular
2023-02-06,U10,regular
2023-02-06,U20,regular
2023-02-06,Y11,regular
2023-02-06,Y12,regular
2023-02-06,Y15,regular
2023-02-06,Y17,regular
2023-02-06,Y19,regular
2023-02-06,Y50,regular
