keyword,cpe_vendor,cpe,cve
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-33021
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28567
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28565
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28564
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28562
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28542
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-22667
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-22387
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-21633
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-21629
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43519
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43511
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33120
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33114
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33110
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33109
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33062
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33040
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33038
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33033
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33032
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33030
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33107
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33092
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33088
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28588
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28586
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28585
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28551
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28550
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28546
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28569
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28568
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28566
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28563
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28556
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24852
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22388
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28557
snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28544
