model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXS3DWA1,R(Android 11),2023-02-06,2022-11-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU2DVG3,R(Android 11),2022-08-09,2022-07-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU2DVB2,R(Android 11),2022-03-15,2022-02-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU2DUJ1,R(Android 11),2021-10-29,2021-09-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXS2DUH1,R(Android 11),2021-09-07,2021-08-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU2DUD7,R(Android 11),2021-05-25,2021-03-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU2DUD3,R(Android 11),2021-04-19,2021-03-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXS2CUA1,Q(Android 10),2021-02-24,2021-02-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1CTK1,Q(Android 10),2020-11-21,2020-11-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1CTI1,Q(Android 10),2020-09-22,2020-08-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1BTG3,Q(Android 10),2020-07-23,2020-06-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1BTF7,Q(Android 10),2020-06-30,2020-06-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1ATE2,Pie(Android 9),2020-06-03,2020-04-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXS1ATC6,Pie(Android 9),2020-04-23,2020-04-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXS1ATA1,Pie(Android 9),2020-01-23,2020-01-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1ASJ3,Pie(Android 9),2019-11-12,2019-10-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1ASH1,Pie(Android 9),2019-09-10,2019-08-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1ASG3,Pie(Android 9),2019-08-15,2019-06-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1ASE8,Pie(Android 9),2019-06-12,2019-04-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
SM-T727,TUR,006512190525,SM-T727/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T727JXU1ASE5,Pie(Android 9),2019-05-24,2019-04-01,Galaxy Tab S5e ,https://doc.samsungmobile.com/SM-T727/006512190525/eng.html
