timestamp,device,series,period
2024-03-01,HUAWEI Mate 50 Pro,HUAWEI Mate series,monthly
2024-03-01,HUAWEI Mate 50,HUAWEI Mate series,monthly
2024-03-01,HUAWEI Mate Xs 2,HUAWEI Mate series,monthly
2024-03-01,HUAWEI Mate X3,HUAWEI Mate series,monthly
2024-03-01,HUAWEI P60 Pro,HUAWEI P series,monthly
2024-03-01,HUAWEI P60,HUAWEI P series,monthly
2024-03-01,HUAWEI nova 10 Pro,HUAWEI nova series,monthly
2024-03-01,HUAWEI nova 10,HUAWEI nova series,monthly
2024-03-01,HUAWEI nova 10 SE,HUAWEI nova series,monthly
2024-03-01,HUAWEI nova 9 SE,HUAWEI nova series,monthly
2024-03-01,HUAWEI nova 11 Pro,HUAWEI nova series,monthly
2024-03-01,HUAWEI nova 11,HUAWEI nova series,monthly
2024-03-01,HUAWEI Mate 40 Pro,HUAWEI Mate series,quarterly
2024-03-01,HUAWEI P50 Pocket,HUAWEI P series,quarterly
2024-03-01,HUAWEI P50 Pocket Premium Edition,HUAWEI P series,quarterly
2024-03-01,HUAWEI P50 Pro,HUAWEI P series,quarterly
2024-03-01,HUAWEI P40 Pro+,HUAWEI P series,quarterly
2024-03-01,HUAWEI P40 Pro,HUAWEI P series,quarterly
2024-03-01,HUAWEI nova Y91,HUAWEI Y series,quarterly
2024-03-01,HUAWEI nova Y90,HUAWEI Y series,quarterly
2024-03-01,HUAWEI nova Y70,HUAWEI Y series,quarterly
2024-03-01,HUAWEI nova Y71,HUAWEI Y series,quarterly
2024-03-01,HUAWEI nova Y61,HUAWEI Y series,quarterly
2024-03-01,HUAWEI nova 11i,HUAWEI Y series,quarterly
2024-03-01,HUAWEI nova 9,HUAWEI nova series,quarterly
