timestamp,device,series,period
2021-10-04,HUAWEI Mate 40 Pro,HUAWEI Mate series,monthly
2021-10-04,HUAWEI Mate 30,HUAWEI Mate series,monthly
2021-10-04,HUAWEI Mate 30 Pro,HUAWEI Mate series,monthly
2021-10-04,HUAWEI Mate 30 Pro (5G),HUAWEI Mate series,monthly
2021-10-04,HUAWEI Mate 20 X (5G),HUAWEI Mate series,monthly
2021-10-04,HUAWEI Mate Xs,HUAWEI Mate series,monthly
2021-10-04,HUAWEI Mate X,HUAWEI Mate series,monthly
2021-10-04,HUAWEI P40,HUAWEI P series,monthly
2021-10-04,HUAWEI P40 Pro,HUAWEI P series,monthly
2021-10-04,HUAWEI P40 Pro+,HUAWEI P series,monthly
2021-10-04,HONOR 20,HONOR series,monthly
2021-10-04,HONOR View 20,HONOR series,monthly
2021-10-04,HUAWEI Mate 20 Pro,HUAWEI Mate series,quarterly
2021-10-04,HUAWEI P40 lite,HUAWEI P series,quarterly
2021-10-04,HUAWEI P40 lite 5G,HUAWEI P series,quarterly
2021-10-04,HUAWEI P40 lite E,HUAWEI P series,quarterly
2021-10-04,HUAWEI P30 lite,HUAWEI P series,quarterly
2021-10-04,HUAWEI P smart 2021,HUAWEI P series,quarterly
2021-10-04,HUAWEI P smart 2020,HUAWEI P series,quarterly
2021-10-04,HUAWEI P smart S,HUAWEI P series,quarterly
2021-10-04,HUAWEI P smart Pro,HUAWEI P series,quarterly
2021-10-04,HUAWEI nova 8i,HUAWEI nova series,quarterly
2021-10-04,HUAWEI nova 7 5G,HUAWEI nova series,quarterly
2021-10-04,HUAWEI nova 7 SE 5G,HUAWEI nova series,quarterly
2021-10-04,HUAWEI nova 7i,HUAWEI nova series,quarterly
2021-10-04,HUAWEI nova 5T,HUAWEI nova series,quarterly
2021-10-04,HUAWEI nova lite 3+,HUAWEI nova series,quarterly
2021-10-04, HUAWEI Y5p,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y5 2019,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y6p,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y6s,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y6 2019,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y6 Pro 2019,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y7a,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y7p,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y8p,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y8s,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y9 Prime 2019,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y9a,HUAWEI Y series,quarterly
2021-10-04,HUAWEI Y9s,HUAWEI Y series,quarterly
2021-10-04,HONOR 30,HONOR series,quarterly
2021-10-04,HONOR 30 Pro+,HONOR series,quarterly
2021-10-04,HONOR 30i,HONOR series,quarterly
2021-10-04,HONOR 30S,HONOR series,quarterly
2021-10-04,HONOR View 30 Pro,HONOR series,quarterly
2021-10-04,HONOR 20e,HONOR series,quarterly
2021-10-04,HONOR 20S,HONOR series,quarterly
2021-10-04,HONOR 9A,HONOR series,quarterly
2021-10-04,HONOR 9C,HONOR series,quarterly
2021-10-04,HONOR 9S,HONOR series,quarterly
2021-10-04,HONOR 9X,HONOR series,quarterly
2021-10-04,HONOR 10X,HONOR series,quarterly
2021-10-04,HONOR 9X lite,HONOR series,quarterly
2021-10-04,HONOR 10X lite,HONOR series,quarterly
2021-10-04,HONOR 9X Pro,HONOR series,quarterly
2021-10-04,HONOR 8A,HONOR series,quarterly
2021-10-04,HONOR 8S,HONOR series,quarterly
2021-10-04, HUAWEI MatePad Pro,Tablets,quarterly
2021-10-04,HUAWEI MediaPad M6,Tablets,quarterly
2021-10-04,HUAWEI MatePad,Tablets,quarterly
2021-10-04,HUAWEI MatePad T,Tablets,quarterly
2021-10-04,HUAWEI MatePad T 10s,Tablets,quarterly
2021-10-04,HUAWEI MatePad T 10,Tablets,quarterly
2021-10-04,HONOR Pad V6,Tablets,quarterly
