timestamp,device,series,period
2019-11-14,P30 Pro,HUAWEI P series,monthly
2019-11-14,P30,HUAWEI P series,monthly
2019-11-14,P20 Pro,HUAWEI P series,monthly
2019-11-14,P20,HUAWEI P series,monthly
2019-11-14,Mate 20 X,HUAWEI Mate series,monthly
2019-11-14,Mate 20 Pro,HUAWEI Mate series,monthly
2019-11-14,Mate 20,HUAWEI Mate series,monthly
2019-11-14,Mate 20 RS,HUAWEI Mate series,monthly
2019-11-14,Mate 10 Pro,HUAWEI Mate series,monthly
2019-11-14,Mate 10,HUAWEI Mate series,monthly
2019-11-14,PORSCHE DESIGN HUAWEI Mate RS,HUAWEI Mate series,monthly
2019-11-14,HONOR 20,HONOR series,monthly
2019-11-14,HONOR 20 PRO,HONOR series,monthly
2019-11-14,Honor View20,HONOR series,monthly
2019-11-14,Honor 10,HONOR series,monthly
2019-11-14,Honor View10,HONOR series,monthly
2019-11-14,P30 lite,HUAWEI P series,quarterly
2019-11-14,P20 lite,HUAWEI P series,quarterly
2019-11-14,P Smart 2019,HUAWEI P series,quarterly
2019-11-14,P 9 lite mini,HUAWEI P series,quarterly
2019-11-14,P Smart,HUAWEI P series,quarterly
2019-11-14,Mate 20 Lite,HUAWEI Mate series,quarterly
2019-11-14,Mate 10 Lite,HUAWEI Mate series,quarterly
2019-11-14,Y9 Prime 2019,HUAWEI Y series,quarterly
2019-11-14,Y9 2019,HUAWEI Y series,quarterly
2019-11-14,Y9 2018,HUAWEI Y series,quarterly
2019-11-14,Y6 2019,HUAWEI Y series,quarterly
2019-11-14,Y6 Pro 2019,HUAWEI Y series,quarterly
2019-11-14,Y6 2018,HUAWEI Y series,quarterly
2019-11-14,Y5 2019,HUAWEI Y series,quarterly
2019-11-14,Y5 2018,HUAWEI Y series,quarterly
2019-11-14,Y5 Prime 2018,HUAWEI Y series,quarterly
2019-11-14,Y5 Lite,HUAWEI Y series,quarterly
2019-11-14,Y5 Lite 2018,HUAWEI Y series,quarterly
2019-11-14,Y3 2018,HUAWEI Y series,quarterly
2019-11-14,Y MAX,HUAWEI Y series,quarterly
2019-11-14,Honor 20i,HONOR series,quarterly
2019-11-14,Honor 10i,HONOR series,quarterly
2019-11-14,Honor 10 Lite,HONOR series,quarterly
2019-11-14,Honor 9 Lite,HONOR series,quarterly
2019-11-14,Honor 9N,HONOR series,quarterly
2019-11-14,Honor 9i,HONOR series,quarterly
2019-11-14,Honor Play,HONOR series,quarterly
2019-11-14,Honor 8A,HONOR series,quarterly
2019-11-14,Honor 8X,HONOR series,quarterly
2019-11-14,Honor 8S,HONOR series,quarterly
2019-11-14,Honor 8C,HONOR series,quarterly
2019-11-14,Honor 7X,HONOR series,quarterly
2019-11-14,Honor 7S,HONOR series,quarterly
2019-11-14,nova 5T,HUAWEI nova series,quarterly
2019-11-14,nova 4,HUAWEI nova series,quarterly
2019-11-14,nova 3,HUAWEI nova series,quarterly
2019-11-14,nova 3e,HUAWEI nova series,quarterly
2019-11-14,nova Lite 3,HUAWEI nova series,quarterly
2019-11-14,nova 3i,HUAWEI nova series,quarterly
2019-11-14,"M5 (8.4"" & 10.8"")",Tablets,quarterly
2019-11-14,M5 Pro,Tablets,quarterly
2019-11-14,"T5 (10.1"")",Tablets,quarterly
2019-11-14,"M5 lite (10.1"" & 8.0"")",Tablets,quarterly
