timestamp,device,series,period
2022-05-20, HUAWEI Mate 40 Pro,HUAWEI Mate series,monthly
2022-05-20,HUAWEI Mate 30,HUAWEI Mate series,monthly
2022-05-20,HUAWEI Mate 30 Pro,HUAWEI Mate series,monthly
2022-05-20,HUAWEI Mate 30 Pro 5G,HUAWEI Mate series,monthly
2022-05-20,HUAWEI Mate Xs,HUAWEI Mate series,monthly
2022-05-20, HUAWEI P40,HUAWEI P series,monthly
2022-05-20,HUAWEI P40 Pro,HUAWEI P series,monthly
2022-05-20,HUAWEI P40 Pro+,HUAWEI P series,monthly
2022-05-20,HUAWEI P50,HUAWEI P series,monthly
2022-05-20,HUAWEI P50 Pro,HUAWEI P series,monthly
2022-05-20, HUAWEI Mate 20 X (5G),HUAWEI Mate series,quarterly
2022-05-20, HUAWEI P40 lite,HUAWEI P series,quarterly
2022-05-20,HUAWEI P40 lite 5G,HUAWEI P series,quarterly
2022-05-20,HUAWEI P40 lite E,HUAWEI P series,quarterly
2022-05-20,HUAWEI P30,HUAWEI P series,quarterly
2022-05-20,HUAWEI P30 Pro,HUAWEI P series,quarterly
2022-05-20,HUAWEI P30 lite,HUAWEI P series,quarterly
2022-05-20,HUAWEI P smart 2021,HUAWEI P series,quarterly
2022-05-20,HUAWEI P smart 2020,HUAWEI P series,quarterly
2022-05-20,HUAWEI P smart S,HUAWEI P series,quarterly
2022-05-20,HUWEI P smart Pro,HUAWEI P series,quarterly
2022-05-20,HUAWEI nova 9,HUAWEI nova series,quarterly
2022-05-20,HUAWEI nova Y60,HUAWEI nova series,quarterly
2022-05-20,HUAWEI nova 8i,HUAWEI nova series,quarterly
2022-05-20,HUAWEI nova 8,HUAWEI nova series,quarterly
2022-05-20,HUAWEI nova 7 5G,HUAWEI nova series,quarterly
2022-05-20,HUAWEI nova 7 SE 5G,HUAWEI nova series,quarterly
2022-05-20,HUAWEI nova 7i,HUAWEI nova series,quarterly
2022-05-20,  HUAWEI Y5p,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y6p,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y6 Pro 2019,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y7a,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y7p,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y8p,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y8s,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y9 Prime 2019,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y9a,HUAWEI Y series,quarterly
2022-05-20,HUAWEI Y9s,HUAWEI Y series,quarterly
2022-05-20, HONOR 30,HONOR series,quarterly
2022-05-20,HONOR 30 Pro+,HONOR series,quarterly
2022-05-20,HONOR 30i,HONOR series,quarterly
2022-05-20,HONOR 30S,HONOR series,quarterly
2022-05-20,HONOR view 30 Pro,HONOR series,quarterly
2022-05-20,HONOR 20e,HONOR series,quarterly
2022-05-20,HONOR 20i,HONOR series,quarterly
2022-05-20,HONOR 20S,HONOR series,quarterly
2022-05-20,HONOR 20 lite,HONOR series,quarterly
2022-05-20,HONOR 9A,HONOR series,quarterly
2022-05-20,HONOR 9C,HONOR series,quarterly
2022-05-20,HONOR 9S,HONOR series,quarterly
2022-05-20,HONOR 9X lite,HONOR series,quarterly
2022-05-20,HONOR 10X,HONOR series,quarterly
2022-05-20,HONOR 10X lite,HONOR series,quarterly
2022-05-20,  HUAWEI MatePad Pro,Tablets,quarterly
2022-05-20,HUAWEI MatePad,Tablets,quarterly
2022-05-20,HUAWEI MatePad T,Tablets,quarterly
2022-05-20,HUAWEI MatePad T 10s,Tablets,quarterly
2022-05-20,HUAWEI MatePad T 10,Tablets,quarterly
2022-05-20,HONOR Pad V6,Tablets,quarterly
