timestamp,device,series,period
2019-07-24,P30 Pro,HUAWEI P series,monthly
2019-07-24,P30,HUAWEI P series,monthly
2019-07-24,P30 lite,HUAWEI P series,monthly
2019-07-24,P20 Pro,HUAWEI P series,monthly
2019-07-24,P20,HUAWEI P series,monthly
2019-07-24,P20 lite,HUAWEI P series,monthly
2019-07-24,P Smart 2019,HUAWEI P series,monthly
2019-07-24,Mate 20 X,HUAWEI Mate series,monthly
2019-07-24,Mate 20 Pro,HUAWEI Mate series,monthly
2019-07-24,Mate 20,HUAWEI Mate series,monthly
2019-07-24,Mate 20 RS,HUAWEI Mate series,monthly
2019-07-24,Mate 10 Pro,HUAWEI Mate series,monthly
2019-07-24,Mate 10,HUAWEI Mate series,monthly
2019-07-24,PORSCHE DESIGN HUAWEI Mate RS,HUAWEI Mate series,monthly
2019-07-24,Mate 20 Lite,HUAWEI Mate series,monthly
2019-07-24,Mate 10 Lite,HUAWEI Mate series,monthly
2019-07-24,Honor 10,HONOR series,monthly
2019-07-24,Honor View10,HONOR series,monthly
2019-07-24,Honor 9N,HONOR series,monthly
2019-07-24,Honor 9i,HONOR series,monthly
2019-07-24,Honor 9 Lite,HONOR series,monthly
2019-07-24,Honor 7X,HONOR series,monthly
2019-07-24,nova 3e,HUAWEI nova series,monthly
2019-07-24,nova Lite 3,HUAWEI nova series,monthly
2019-07-24,nova 2i,HUAWEI nova series,monthly
2019-07-24,P 9 lite mini,HUAWEI P series,quarterly
2019-07-24,P Smart,HUAWEI P series,quarterly
2019-07-24,Y9 2019,HUAWEI Y series,quarterly
2019-07-24,Y9 2018,HUAWEI Y series,quarterly
2019-07-24,Y6 2019,HUAWEI Y series,quarterly
2019-07-24,Y6 2018,HUAWEI Y series,quarterly
2019-07-24,Y5 2019,HUAWEI Y series,quarterly
2019-07-24,Y5 2018,HUAWEI Y series,quarterly
2019-07-24,Y5 Prime 2018,HUAWEI Y series,quarterly
2019-07-24,Y5 Lite,HUAWEI Y series,quarterly
2019-07-24,Y5 Lite 2018,HUAWEI Y series,quarterly
2019-07-24,Y3 2018,HUAWEI Y series,quarterly
2019-07-24,Honor View20,HONOR series,quarterly
2019-07-24,Honor 10,HONOR series,quarterly
2019-07-24,Honor 10i,HONOR series,quarterly
2019-07-24,Honor 10 Lite,HONOR series,quarterly
2019-07-24,Honor Play,HONOR series,quarterly
2019-07-24,Honor 8A,HONOR series,quarterly
2019-07-24,Honor 8X,HONOR series,quarterly
2019-07-24,Honor 8S,HONOR series,quarterly
2019-07-24,Honor 7S,HONOR series,quarterly
2019-07-24,nova 4,HUAWEI nova series,quarterly
2019-07-24,nova 3,HUAWEI nova series,quarterly
2019-07-24,nova 3i,HUAWEI nova series,quarterly
2019-07-24,nova 2i,HUAWEI nova series,quarterly
2019-07-24,M5,Tablets,quarterly
2019-07-24,M5 Pro,Tablets,quarterly
2019-07-24,MediaPad T5 10,Tablets,quarterly
2019-07-24,MediaPad M5 lite 10,Tablets,quarterly
